b_shuaybah;Shuaybah;;;;;;;;;;x
b_wafrah;Wafrah;;;;;;;;;;x
b_khatt;Khatt;;;;;;;;;;x
b_hofuf;Hofuf;;;;;;;;;;x
b_salwa;Salwa;;;;;;;;;;x
b_as_sila;As Sila';;;;;;;;;;x
b_burayami;Burayami;;;;;;;;;;x
b_ibri_two;Al-Ibri;;;;;;;;;;x
b_matrah;Matrah;;;;;;;;;;x
b_nizwa;Nizwa;;;;;;;;;;x
b_khaluf;Khaluf;;;;;;;;;;x
b_al_masira;Al Masira;;;;;;;;;;x
b_farrah;Fararah;;;;;;;;;;x
b_hayama;Hayama;;;;;;;;;;x
b_shishur;Shishur;;;;;;;;;;x
b_hamidan;Hamidan;;;;;;;;;;x
b_qatar;Qatar;;;;;;;;;;x
b_wabar;Wabar;;;;;;;;;;x
b_shahan;Shahan;;;;;;;;;;x
b_ubaylah;Ubaylah;;;;;;;;;;x
b_mahrah;Mahrah;;;;;;;;;;x
b_ka_ab;Ka'ab;;;;;;;;;;x
b_riyadh;Riyadh;;;;;;;;;;x
b_salemy;Salemy;;;;;;;;;;x
b_abraq;Abraq;;;;;;;;;;x
b_mushayt;Mushayt;;;;;;;;;;x
b_najran_two;Najran;;;;;;;;;;x
b_sif;Sif;;;;;;;;;;x
b_ataq_two;Al-Ataq;;;;;;;;;;x
b_ibb;Ibb;;;;;;;;;;x
b_ma_bar;Ma'bar;;;;;;;;;;x
b_lidam;Lidam;;;;;;;;;;x
b_ranyah;Ranyah;;;;;;;;;;x
b_zalim;Zalim;;;;;;;;;;x
b_at_ta_if;At Ta'if;;;;;;;;;;x
b_badr;Badr;;;;;;;;;;x
b_lajj;Lajj;;;;;;;;;;x
b_wajh;Wajh;;;;;;;;;;x
b_tayma;Tayma;;;;;;;;;;x
b_jubbah;Jubbah;;;;;;;;;;x
b_ruewis;Ruewis;;;;;;;;;;x
b_iram;Iram;;;;;;;;;;x
b_dawkah_two;Al-Dawkah;;;;;;;;;;x
b_thamarit;Thamarit;;;;;;;;;;x
b_raysut;Raysut;;;;;;;;;;x
b_sulayyil;Sulayyil;;;;;;;;;;x
b_sarawrah;Sarawrah;;;;;;;;;;x
b_saniw;Saniw;;;;;;;;;;x
b_thamud;Thamud;;;;;;;;;;x
b_unayzah;Unayzah;;;;;;;;;;x
b_baqa_two;Baqa;;;;;;;;;;x
b_turayf;Turayf;;;;;;;;;;x
b_sakaka;Sakaka;;;;;;;;;;x
b_sai_ar;Sai'Ar;;;;;;;;;;x
b_murra;Murra;;;;;;;;;;x
c_sai_ar;Sai'Ar;;;;;;;;;;x
c_murra;Murra;;;;;;;;;;x
c_shuaybah;Shuaybah;;;;;;;;;;x
c_wafrah;Wafrah;;;;;;;;;;x
c_khatt;Khatt;;;;;;;;;;x
c_hofuf;Hofuf;;;;;;;;;;x
c_salwa;Salwa;;;;;;;;;;x
c_as_sila;As Sila';;;;;;;;;;x
c_burayami;Burayami;;;;;;;;;;x
c_ibri;Ibri;;;;;;;;;;x
c_matrah;Matrah;;;;;;;;;;x
c_nizwa;Nizwa;;;;;;;;;;x
c_khaluf;Khaluf;;;;;;;;;;x
c_al_masira;Al Masira;;;;;;;;;;x
c_farrah;Fararah;;;;;;;;;;x
c_hayama;Hayama;;;;;;;;;;x
c_shishur;Shishur;;;;;;;;;;x
c_hamidan;Hamidan;;;;;;;;;;x
c_qatar;Qatar;;;;;;;;;;x
c_wabar;Wabar;;;;;;;;;;x
c_shahan;Shahan;;;;;;;;;;x
c_ubaylah;Ubaylah;;;;;;;;;;x
c_mahrah;Mahrah;;;;;;;;;;x
c_ka_ab;Ka'ab;;;;;;;;;;x
c_riyadh;Riyadh;;;;;;;;;;x
