#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;
HERO_RELIGION;Heroic Religion;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
HERO_RELIGION_HOME_TERRITORY;Heroic Religion in Home Territory;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
GOD_ANGUS;Angus mac Og;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
GOD_DAGHDA;The Daghda;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
GOD_MANANNAN;Manannan mac Lir;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
GOD_LUGH;Lugh;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
GOD_MACHA;Macha;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
GOD_DANA;Dana;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
GOD_NUADA;Nuada;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
druidic;Celtic;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
druidic_reformed;Druidic;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
druidic_DESC;Celtic paganism is one of the last surviving branch of the ancient druidic belief systems. A pantheon of gods and a world full of spirits , the children of Dana rule the Skies, the Earth and the Otherworld. The main gods are Dana and Nuada, Angus, the god of Youth, Macha, the horse goddess, the great Daghda, Manannan mac Lir, the Sea God and Lugh of the Long Spear. Defining features in-game:\n§Y*§! Can raid neighbors for loot\n§Y*§! Low-tech non-pagans have very low Supply Limit in Pagan counties\n§Y*§! Can declare Subjugation Wars against all other pagans\n§Y*§! Rulers are limited to Gavelkind Succession\n§Y*§! Rulers cannot declare Holy Wars\n§Y*§! Inferior at conversion and vulnerable to non-pagan missionaries\n§Y*§! Rulers lose Prestige if at peace for too long\n§Y*§! The Celtic Pagan faith can be Reformed;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
