# WtWSMS provinces to add to IDs after vanilla
1466;43;138;33;Swarty;x # New WtWSMS provinces
1467;85;141;161;Murzuk;x # Historical "Paris of the Desert"
1468;127;144;34;Sewwa;x
1469;169;147;162;Taxseft;x 
1470;1;150;35;Azeggif;x 
1471;43;153;163;Mya;x
1472;85;156;36;Garama;x
1473;127;159;164;Labass;x
1474;169;162;37;Aghrom;x
1475;1;165;165;Nhasbisse;x
1476;43;168;38;Talla;x
1477;85;171;166;Rqa;x
1478;127;174;39;Aggweh;x
1479;169;177;167;Kkes;x
1480;1;180;40;Ruh;x
1481;43;183;168;Tizizwa;x
1482;85;186;41;Makrane;x 
1483;127;189;169;Iyi;x
1484;169;192;42;Rweqt;x
1485;1;195;170;Iwdan;x 
1486;43;198;43;Amenyi;x 
1487;85;201;171;Afunas;x
1488;127;204;44;Rass;x 
1489;169;207;172;Dousbihane;x
1490;1;210;45;Pr'uba;x 
1491;43;0;173;Tafunast;x # Beginning of Province Divisons
1492;85;3;46;Nafusa;x 
1493;127;6;174;Azegran;x
1494;169;9;47;Sarbisa;x
1495;1;12;175;Birra;x
1496;43;15;48;Qseh;x 
1497;85;18;176;Nardalte;x 
1498;127;21;49;Idakattakhe;x # End of New Saharan, beginning of Cyrenaica rennovation
1499;169;24;177;Ipitrul;x
1500;1;27;50;Aflur;x
1501;43;30;178;Iri;x
1502;85;33;51;Marrya;x
1503;127;36;179;Hada;x
1504;169;39;52;Zznun;x
1505;1;42;180;Rmehkama;x # End of Cyrenaica, Begin Tunis
1506;43;45;53;Tivzenna;x
1507;85;48;181;Igenigena;x
1508;127;51;54;Aneb;x # End Tunis, begin Mauretania
1509;169;54;182;Manzakine;x
1510;1;57;55;Tighemi;x
1511;43;60;183;Souk;x
1512;85;63;56;Rmihe;x
1513;127;66;184;Menshke;x
1514;169;69;57;Arebi;x # End of Mauretania
1515;1;72;185;Shuaybah;x # Shuaybah, Start of Persian Gulf, Start of Zusks Arabia Overhaul
1516;43;75;58;Wafrah;x
1517;85;78;186;Khatt;x
1518;127;81;59;Hofuf;x 
1519;169;84;187;Salwa;x 
1520;1;87;60;As Sila';x
1521;43;90;188;Burayami;x # Burayami, end of Persian Gulf, start of Oman
1522;85;93;61;Ibri;x
1523;127;96;189;Matrah;x
1524;169;99;62;Nizwa;x
1525;1;102;190;Khaluf;x
1526;43;105;63;Al Masira;x
1527;85;108;191;Fararah;x 
1528;127;111;64;Hayama;x
1529;169;114;192;Shishur;x
1530;1;117;65;Hamidan;x
1531;43;120;193;Qatar;x # Qatar, end of Oman, start of Qatar
1532;85;123;66;Wabar;x # Wabar, end of Qatar, start of Rub al 'khali and Central Arabia
1533;127;126;194;Shahan;x
1534;169;129;67;Ubaylah;x
1535;1;132;195;Mahrah;x
1536;43;135;68;Ka'ab;x
1537;85;138;196;Riyadh;x
1538;127;141;69;Salemy;x
1539;169;144;197;Abraq;x # Abraq, end of Rub'al Khali and Central Arabia
1540;1;147;70;Mushayt;x # Mushayt, start of Yemen
1541;43;150;198;Najran;x
1542;85;153;71;Sif;x
1543;127;156;199;Ataq;x
1544;169;159;72;Ibb;x
1545;1;162;200;Ma'bar;x
1546;43;165;73;Lidam;x # Lidam, end of Yemen,
1547;85;168;201;Ranyah;x # Ranyah, start of Hedjaz
1548;127;171;74;Zalim;x
1549;169;174;202;At Ta'if;x
1550;1;177;75;Badr;x
1551;43;180;203;Lajj;x
1552;85;183;76;Wajh;x
1553;127;186;204;Tayma;x
1554;169;189;77;Jubbah;x
1555;1;192;205;Ruewis;x #Additional Provinces
1556;43;195;78;Iram;x
1557;85;198;206;Dawkah;x
1558;127;201;79;Thamarit;x 
1559;169;204;207;Raysut;x 
1560;1;207;80;Sulayyil;x 
1561;43;210;208;Sarawrah;x
