#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
BM_ROME_DIVIDED;Theodosius' Glory;;;;;;;;;;;;;x
BM_END_EMPIRE_ERA;Theodosius' Glory;;;;;;;;;;;;;x
BM_END_EMPIRE_DESC;At the dawn of the Dark Ages the Roman Empire descends into chaos due to volcanic changes rocking the empire as apocalyptic signs foretell of a great scourge to sweep across Europe. Upon the death of Emperor Theodosius I in 395 A.D., the empire is divided between his sons who each rule a half: Honorius in the West, and Arcadius in the East. Since the days of Diocletian it has become a custom to divide Rome as the pressures to govern the empire have become too much for a single emperor to handle. With the split of the empire both sides face multiple threats on all sides, including internal instability undermining each of the young emperors' control as part of the long-term repercussions of the Third-Century Crisis.;;;;;;;;;;;;;x
BM_END_EMPIRE_ERA_INFO;At the dawn of the Dark Ages the Roman Empire descends into chaos due to volcanic changes rocking the empire as apocalyptic signs foretell of a great scourge to sweep across Europe. Upon the death of Emperor Theodosius I in 395 A.D., the empire is divided between his sons who each rule a half: Honorius in the West, and Arcadius in the East. Since the days of Diocletian it has become a custom to divide Rome as the pressures to govern the empire have become too much for a single emperor to handle. With the split of the empire both sides face multiple threats on all sides, including internal instability undermining each of the young emperors' control as part of the long-term repercussions of the Third-Century Crisis.;;;;;;;;;;;;;x
BM_ATTILA;Scourge of God;;;;;;;;;;;;;x
BM_ATTILA_ERA;Scourge of God;;;;;;;;;;;;;x
BM_ATTILA_DESC;The glorious Western Roman Empire is dying, plunged into a deep crisis and attacked on all sides by barbarians. It has lost much of its territory, but can it be reborn from the ashes or will this be its end? In the East the Persians are a great threat to the Eastern Romans. In Britain the Anglos, Saxons and Jutes rush to invade the unprotected lands.;;;;;;;;;;;;;x
BM_ATTILA_ERA_INFO;The glorious Western Roman Empire is dying, plunged into a deep crisis and attacked on all sides by barbarians. It has lost much of its territory, but can it be reborn from the ashes or will this be its end? In the East the Persians are a great threat to the Eastern Romans. In Britain the Anglos, Saxons and Jutes rush to invade the unprotected lands.;;;;;;;;;;;;;x
BM_MAJORIANUS;A New Hope;;;;;;;;;;;;;x
BM_MAJORIANUS_INFO;With Majorian, an energetic emperor on the throne, the Western Roman Empire is not yet lost...;;;;;;;;;;;;;x
##### Era window;;;;;;;;;;;;x
ERA_CHAR_NAME_66;Attila;Attila;;;Attila;;;;;;;x
ERA_CHAR_NAME_145229;Valentinian III;Valentinien III;Valentinian III;;Valentiniano III;;;;;;;x
