######################################################
# Localisation for WtWSMS_caudillo_franco_events.txt #
######################################################
EVTDESCgothic_war.1;The Byzantines are weak and vulnerable to attack after many years of protracted warfare. Many anxious warriors have amassed at Ravenna, anxiously waiting for your command to attack, should you ever give it...;Après plusieurs années de guerre, les grecs demeurent faible et vulnérable face à un attaque de ses ennemis. De nombreuses guerriers ont rassemblé à Ravenne, en attendant la commande d'attaquer ces maudits byzantins, si vous donnerez les ordres...;;;;;;;;;;;;x
EVTOPTAgothic_war.1;Those Greeks will cower under my might!;Ces grecs se replieront sous la puissance de mon armée!;;;;;;;;;;;;x
EVTOPTBgothic_war.1;Uh... I'd rather not cause more trouble.;Je ne préfère pas causer plus de trouble.;;;;;;;;;;;;x
EVTDESCgothic_war.2;Your Grace, we have received disturbing reports that the blasted Totila has amassed a sizeable force of Ostrogoth Barbarians to advance the Gothic cause! What say thou?;Votre Majesté, nous avons reçu des nouvelles que Totila a amassé une force gigantesque de barbares ostrogothes pour avancer leur cause dans la guerre! Que dites vous?;;;;;;;;;;;;x
EVTOPTAgothic_war.2;I'll let my trusted General Narses handle this.;Je donne la commande d'une armée à Narsès pour les battre.;;;;;;;;;;;;x
EVTOPTBgothic_war.2;This is too much for me to handle, we must sue for peace!;J'en ai assez de cette maudite guerre, nous devrons les offrir la paix!;;;;;;;;;;;;x
EVTOPTCgothic_war.2;Bugger these petty savages, these rumours are a cruel jape!;Ces rumeurs sont fausse, ignorez-les.;;;;;;;;;;;;x
EVTDESCgothic_war.3;For many years, your dynasty, the Amals, has ruled the great Ostrogothic Kingdom. Being partially Roman in culture has evidently caused much concern and distaste amongst many of your vassals and friends, perhaps you should consider converting cultures?;Pour plusieurs années, votre dynastie, les Amal, a gouverné la magnifique Royaume des Ostrogoths. Votre culture romain a évidemment causé des tensions entre vous et plusieurs de vos amis et vassaux. Peut-être vous pouvez convertir pour les appaiser?;;;;;;;;;;;;x
EVTOPTAgothic_war.3;To hell with them! I have always been a Roman in spirit and blood.;Je m'en fou! J'ai toujours été un romain en esprit et en sang;;;;;;;;;;;;x
EVTOPTBgothic_war.3;Perhaps it's for the best...;Peut-être c'est pour le meilleur;;;;;;;;;;;;x
EVTDESCgothic_war.4;The Amal dynasty has reigned in the glorious Ostrogothic realm for many years. Sadly, cultural differences between you and your rightful liege have strained relations significantly. However, a conversion to the Romano-Gothic culture will surely please your suzerain, and may have some hidden benefits to it...;La dynastie Amal a gouverné la glorieuse Royaume des Ostrogoths pour des années. Malheureusement, des différences culturelles entre vous et votre suprême liège a causé une dissension de relations. Mais, convertir à la culture romano-goths restaurai les rélations entre vous et votre liège et peut-être, en plus, des autres avantages aussi...;;;;;;;;;;;;x
EVTOPTAgothic_war.4;Well that's just too bad for him. I'm Ostrogothic and proud!;Tant pis pour lui, j'suis fier d'être ostrogothe!;;;;;;;;;;;;x
EVTOPTBgothic_war.4;I'll do it for the good of the realm!;Je le ferai pour le bien-être du royaume!;;;;;;;;;;;;x
EVTDESCgothic_war.5;It has come to your attention that your Visigothic vassals are displeased with your Roman ways. If you are to please them, a conversion to Visigothic would keep peace in the realm.;;;;;;;;;;;;;x
EVTOPTAgothic_war.5;Never! I cannot adhere to such a barbaric culture!;Jamais! Je ne convertirai pas à une culture si barbare!;;;;;;;;;;;;x
EVTOPTBgothic_war.5;It would be wise to please my vassals. Conversion isn't so bad after all.;Ça serait sage d'appaiser mes vassaux. La conversion n'est pas si pire que ça.;;;;;;;;;;;;x
EVTDESCbyz_flavour.1;Basileus, a letter from the Western Roman Emperor himself details his request to be coronated by Your Grace to solidify his legitimacy amongst Nobles and Peasants alike. It would surely please him to be crowned by the famed Basileus himself.;;;;;;;;;;;;;x
EVTOPTAbyz_flavour.1;I'd love to coronate him! Surely such a grand accomplishment should be recognized by such a legend like myself.;;;;;;;;;;;;;x
EVTOPTBbyz_flavour.1;To Hell with him! I am the true Roman Emperor and no one is my equal!;;;;;;;;;;;;;x
