#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
####### Titles;;;;;;;;;;;x
k_athens;Athens;;;;;;;;;;;x
k_ahtens_adj;Athenian;;;;;;;;;;;x
k_sparta;Sparta;;;;;;;;;;;x
k_sparta_adj;Spartan;;;;;;;;;;;x
k_thracia;Thracia;;;;;;;;;;;x
k_thracia_adj;Thracian;;;;;;;;;;;x
k_illyria;Illyria;;;;;;;;;;;x
k_illyria_adj;Illyrian;;;;;;;;;;;x
k_cyrenaica;Cyrenaica;;;;;;;;;;;x
k_cyrenaica_adj;Cyrenaican;;;;;;;;;;;x
k_helling;The Helling;;;;;;;;;;;x
k_helling_adj;Helling;;;;;;;;;;;x
e_helling;The Helling;;;;;;;;;;;x
e_helling_adj;Helling;;;;;;;;;;;x
k_crete;Krete;;;;;;;;;;;x
k_crete_adj;Krete;;;;;;;;;;;x
k_cyprus;Cyprus;;;;;;;;;;;x
k_cyprus_adj;Cyprus;;;;;;;;;;;x
e_egypt;Egyptian Empire;;;;;;;;;;;x
e_egypt_adj;Egyptian;;;;;;;;;;;x
e_macedon;Macedonian Empire;;;;;;;;;;;x
e_macedon_adj;Macedonian;;;;;;;;;;;x
