#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
####### Titles (excluding County/Barony Titles);;;;;;;;;;;x;
d_aquitania_prima;Aquitania Prima;Aquitania Prima;Aquitania Prima;;Aquitania Prima;;;;;;;x
d_aquitania_prima_adj;Aquitania Prima;Aquitania Prima;Aquitania Prima;;Aquitania Prima;;;;;;;x
d_lugdunensis_quarta;Lugdunensis Quarta;Lugdunensis Quarta;Lugdunensis Quarta;;Lugdunensis Quarta;;;;;;;x
d_lugdunensis_quarta_adj;Lugdunensis Quarta;Lugdunensis Quarta;Lugdunensis Quarta;;Lugdunensis Quarta;;;;;;;x
d_lugdunensis_tertia;Lugdunensis Tertia;Lugdunensis Tertia;Lugdunensis Tertia;;Lugdunensis Tertia;;;;;;;x
d_lugdunensis_tertia_adj;Lugdunensis Tertia;Lugdunensis Tertia;Lugdunensis Tertia;;Lugdunensis Tertia;;;;;;;x
d_lugdunensis_secunda;Lugdunensis Secunda;Lugdunensis Secunda;Lugdunensis Secunda;;Lugdunensis Secunda;;;;;;;x
d_lugdunensis_secunda_adj;Lugdunensis Secunda;Lugdunensis Secunda;Lugdunensis Secunda;;Lugdunensis Secunda;;;;;;;x
d_belgica_prima;Belgica Prima;Belgica Prima;Belgica Prima;;Belgica Prima;;;;;;;x
d_belgica_prima_adj;Belgica Prima;Belgica Prima;Belgica Prima;;Belgica Prima;;;;;;;x
d_aquitania_secunda;Aquitania Secunda;Aquitania Secunda;Aquitania Secunda;;Aquitania Secunda;;;;;;;x
d_aquitania_secunda_adj;Aquitania Secunda;Aquitania Secunda;Aquitania Secunda;;Aquitania Secunda;;;;;;;x
d_belgica_secunda;Belgica Secunda;Belgica Secunda;Belgica Secunda;;Belgica Secunda;;;;;;;x
d_belgica_secunda_adj;Belgica Secunda;Belgica Secunda;Belgica Secunda;;Belgica Secunda;;;;;;;x
