#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x;;
######New cultures, titles cultural localization, cultural buildings...;;;;;;;;;;;;x;;
thuringian;Thuringian;thuringien;;;;;;;;;;x
duke_thuringian;Herzoj;Herzoj;;;;;;;;;;x
count_thuringian;Zählen;Zählen;;;;;;;;;;x
king_thuringian;Khönij;Khönij;;;;;;;;;;x
county_of_thuringian;Jrafschafs of;Jrafschafs de;;;;;;;;;;x
duchy_of_thuringian;Herzojsum of;Herzojsum de;;;;;;;;;;x
kingdom_of_thuringian;Reich of;Reich de;;;;;;;;;;x
city_baron_thuringian;Bürjermeisser;Bürjermeisser;;;;;;;;;;x
city_barony_of_thuringian;Ssads of;Ssads de;;;;;;;;;;x
baron_thuringian;Jebieser;Jebieser;;;;;;;;;;x
barony_of_thuringian;Schloss of;Schloss de;;;;;;;;;;x
east_gallic;East Gallic;gaulois oriental;;;;;;;;;;x
king_east_gallic;Hendinos;Hendinos;;;;;;;;;;x
duke_east_gallic;Leuds;Leuds;;;;;;;;;;x
kingdom_of_east_gallic;Hendinum of;Hendinum of;;;;;;;;;;x
duchy_of_east_gallic;Leudi of;Leudi de;;;;;;;;;;x
temple_baron_east_gallic;Sinistus;Sinistus;;;;;;;;;;x
job_marshal_east_gallic;Stiurilings;Stiurilings;;;;;;;;;;x
job_treasurer_east_gallic;Ãžeus;Ãžeus;;;;;;;;;;x
job_spymaster_east_gallic;Wulwa;Wulwa;;;;;;;;;;x
count_east_gallic;Walda;Walda;;;;;;;;;;x
county_of_east_gallic;Waldan of;Waldan de;;;;;;;;;;x
city_barony_of_east_gallic;Haims of;Haims de;;;;;;;;;;x
vandalic;Vandalic;vandale;;;;;;;;;;x
duke_vandalic;Froja;Froja;;;;;;;;;;x
duchy_of_vandalic;Froj of;Froj de;;;;;;;;;;x
job_marshal_vandalic;Gardingus;Gardingus;;;;;;;;;;x
suebian;Suebian;suève;;;;;;;;;;x
city_barony_of_suebian;Burjo of;Burjo de;;;;;;;;;;x
city_baron_suebian;Urbauchi;Urbauchi;;;;;;;;;;x
city_barony_of_suebian;Urbanauch of;Urbanauch de;;;;;;;;;;x
city_count_suebian;Procurmeister;Procurmeister;;;;;;;;;;x
city_county_of_suebian;Polich of;Polich de;;;;;;;;;;x
city_duke_suebian;Negatii;Negatii;;;;;;;;;;x
city_duchy_of_suebian;Epistylii of;Epistylii de;;;;;;;;;;x
city_king_suebian;Avarreikist;Avarreikist;;;;;;;;;;x
city_kingdom_of_suebian;Populeuch of;Populeuch de;;;;;;;;;;x
city_emperor_suebian;Die Glorreiche;Die Glorreiche;;;;;;;;;;x
baron_suebian;Lichtori;Lichtori;;;;;;;;;;x
barony_of_suebian;Festung;Festung;;;;;;;;;;x
count_suebian;Tribun;Tribun;;;;;;;;;;x
county_of_suebian;Gericht of;Gericht de;;;;;;;;;;x
duke_suebian;Prätor;Prätor;;;;;;;;;;x
duchy_of_suebian;Prätorkeit of;Prätorkeit de;;;;;;;;;;x
king_suebian;Rech;Rech;;;;;;;;;;x
kingdom_of_suebian;Rechen of;Rechen de;;;;;;;;;;x
emperor_suebian;Agustii;Agustii;;;;;;;;;;x
empire_of_suebian;Augustreich of;Augustreich de;;;;;;;;;;x
job_chancellor_suebian;Rats;Rats;;;;;;;;;;x
job_spymaster_suebian;Excursor;Excursor;;;;;;;;;;x
job_treasurer_suebian;Trimmen;Trimmen;;;;;;;;;;x
job_marshal_suebian;Prätorian;Prätorian;;;;;;;;;;x
job_spiritual_suebian;Papst;Papst;;;;;;;;;;x
tocharian;Tocharian;tokharien;;;;;;;;;;x
king_tocharian;Lánt;Lánt;;;;;;;;;;x
kingdom_of_tocharian;Lánti of;Lánti de;;;;;;;;;;x
duke_tocharian;Kamartike;Kamartike;;;;;;;;;;x
duchy_of_tocharian;Kamarttanne of;Kamarttanne de;;;;;;;;;;x
count_tocharian;Keninta;Keninta;;;;;;;;;;x
county_of_tocharian;Keniye of;Keniye de;;;;;;;;;;x
job_marshal_tocharian;Ksatriye;Ksatriye;;;;;;;;;;x
emperor_tocharian;Nakta;Nakta;;;;;;;;;;x
temple_baron_tocharian;Yankune;Yankune;;;;;;;;;;x
job_spiritual_tocharian;Tsaske;Tsaske;;;;;;;;;;x
job_spymaster_tocharian;Lyak;Lyak;;;;;;;;;;x
job_treasurer_tocharian;Serve;Serve;;;;;;;;;;x
job_chancellor_tocharian;Aisaumye;Aisaumye;;;;;;;;;;x
city_barony_of_tocharian;Riye of;Riye de;;;;;;;;;;x
barony_of_tocharian;Srukalne of;Srukalne de;;;;;;;;;;x
baron_tocharian;Sruka;Sruka;;;;;;;;;;x
city_baron_tocharian;Tas;Tas;;;;;;;;;;x
temple_barony_of_tocharian;Devakul of;Devakul de;;;;;;;;;;x
soadian;Sogdian;sogdien;;;;;;;;;;x
duke_sogdian;Tarxan;Tarxan;;;;;;;;;;x
duchy_of_sogdian;Tarxate of;Tarxate de;;;;;;;;;;x
king_sogdian;Xwat'y;Xwat'y;;;;;;;;;;x
king_female_sogdian;Xwat'yn;Xwat'yn;;;;;;;;;;x
kingdom_of_sogdian;Xanate of;Xanate de;;;;;;;;;;x
job_marshal_sogdian;Grand Tarzan;Grand Tarzan;;;;;;;;;;x
duke_female_sogdian;Tarxya;Tarxya;;;;;;;;;;x
count_sogdian;Ssag;Ssag;;;;;;;;;;x
county_of_sogdian;Ssagdom of;Ssagdom de;;;;;;;;;;x
count_female_sogdian;Ssaga;Ssaga;;;;;;;;;;x
aramean;Aramean;araméen;;;;;;;;;;x
king_aramean;Meleke;Meleke;;;;;;;;;;x
kingdom_of_aramean;Melekwat of;Melekwat de;;;;;;;;;;x
duke_aramean;Mery;Mery;;;;;;;;;;x
duchy_of_aramean;Yatba of;Yatba de;;;;;;;;;;x
count_aramean;Eygmowna;Eygmowna;;;;;;;;;;x
county_of_aramean;Midinta of;Midinta de;;;;;;;;;;x
city_county_of_aramean;Bzyyl of;Bzyyl de;;;;;;;;;;x
city_barony_of_aramean;Kapra of;Kapra de;;;;;;;;;;x
city_baron_aramean;Hazin;Hazin;;;;;;;;;;x
barony_of_aramean;Gawsaqa of;Gawsaqa de;;;;;;;;;;x
baron_aramean;Ownys;Ownys;;;;;;;;;;x
job_chancellor_aramean;Himyr;Himyr;;;;;;;;;;x
job_treasurer_aramean;Owqinowm;Owqinowm;;;;;;;;;;x
job_marshall_aramean;Estratega;Estratega;;;;;;;;;;x
job_spymaster_aramean;Lyl;Lyl;;;;;;;;;;x
temple_barony_of_aramean;Gowr of;Gowr de;;;;;;;;;;x
temple_baron_aramean;Dowrpir;Dowrpir;;;;;;;;;;x
job_spiritual_aramean;Mnahhesa;Mnahhesa;;;;;;;;;;x
city_duchy_of_aramean;Lowplegmownyqy of;Lowplegmownyqy de;;;;;;;;;;x
title_prince_aramean;Arkonta;Arkonta;;;;;;;;;;x
city_duke_aramean;Arkonta;Arkonta;;;;;;;;;;x
city_count_aramean;Mishyr;Mishyr;;;;;;;;;;x
city_king_aramean;Owprik;Owprik;;;;;;;;;;x
city_kingdom_of_aramean;Demowsyon of;Demowsyon de;;;;;;;;;;x
helleno_thracian;Helleno-Thracian;hélleno-thrace;;;;;;;;;;x
helleno_thracian_FEATURES;\n* §Y*§! Can organize Roman legions \n* §Y*§! Can use the Roman Reconquest CB's \n* §Y*§! Can restore/reunite the Roman Empire;\n* §Y*§! Peuvent organiser les légions romaines \n* §Y*§! Peuvent utiliser les CB de reconquête romaine \n* §Y*§! Peuvent restaurer/réunifier l'Empire romain;;;;;;;;;;x
helleno_aramean;Helleno-Aramaic;hélleno-araméen;;;;;;;;;;x
helleno_aramean_FEATURES;\n* §Y*§! Can organize Roman legions \n* §Y*§! Can use the Roman Reconquest CB's \n* §Y*§! Can restore/reunite the Roman Empire;\n* §Y*§! Peuvent organiser les légions romaines \n* §Y*§! Peuvent utiliser les CB de reconquête romaine \n* §Y*§! Peuvent restaurer/réunifier l'Empire romain;;;;;;;;;;x
king_helleno_aramean;Meleke;Meleke;;;;;;;;;;x
king_helleno_aramean;Diadokhoi;Diadokhoi;;;;;;;;;;x
kingdom_of_helleno_aramean;Melekwat of;Melekwat de;;;;;;;;;;x
king_female_helleno_aramean;Diadokhoi;Diadokhoi;;;;;;;;;;x
duke_helleno_aramean;Mery;Mery;;;;;;;;;;x
duchy_of_helleno_aramean;Yatba of;Yatba de;;;;;;;;;;x
count_helleno_aramean;Eygmowna;Eygmowna;;;;;;;;;;x
county_of_helleno_aramean;Midinta of;Midinta de;;;;;;;;;;x
city_county_of_helleno_aramean;Bzyyl of;Bzyyl de;;;;;;;;;;x
city_barony_of_helleno_aramean;Kapra of;Kapra de;;;;;;;;;;x
city_baron_helleno_aramean;Hazin;Hazin;;;;;;;;;;x
barony_of_helleno_aramean;Gawsaqa of;Gawsaqa de;;;;;;;;;;x
baron_helleno_aramean;Ownys;Ownys;;;;;;;;;;x
job_chancellor_helleno_aramean;Himyr;Himyr;;;;;;;;;;x
job_treasurer_helleno_aramean;Owqinowm;Owqinowm;;;;;;;;;;x
job_marshall_helleno_aramean;Estratega;Estratega;;;;;;;;;;x
job_spymaster_helleno_aramean;Lyl;Lyl;;;;;;;;;;x
temple_barony_of_helleno_aramean;Gowr of;Gowr de;;;;;;;;;;x
temple_baron_helleno_aramean;Dowrpir;Dowrpir;;;;;;;;;;x
job_spiritual_helleno_aramean;Mnahhesa;Mnahhesa;;;;;;;;;;x
city_duchy_of_helleno_aramean;Lowplegmownyqy of;Lowplegmownyqy de;;;;;;;;;;x
title_prince_helleno_aramean;Arkonta;Arkonta;;;;;;;;;;x
city_duke_helleno_aramean;Arkonta;Arkonta;;;;;;;;;;x
city_count_helleno_aramean;Mishyr;Mishyr;;;;;;;;;;x
city_king_helleno_aramean;Owprik;Owprik;;;;;;;;;;x
city_kingdom_of_helleno_aramean;Demowsyon of;Demowsyon de;;;;;;;;;;x
albanian;Albanian;albanais;;;;;;;;;;x
king_albanian;Mbret;Mbret;;;;;;;;;;x
kingdom_of_albanian;Mbreti of;Mbreti de;;;;;;;;;;x
duke_albanian;Zot;Zot;;;;;;;;;;x
duchy_of_albanian;Zoti of;Zoti de;;;;;;;;;;x
count_albanian;Konteshë;Konteshë;;;;;;;;;;x
county_of_albanian;Konti of;Konti de;;;;;;;;;;x
temple_baron_albanian;Prift;Prift;;;;;;;;;;x
city_baron_albanian;Kryebashkiak;Kryebashkiak;;;;;;;;;;x
city_count_albanian;Kryetar-Bashkie;Kryetar-Bashkie;;;;;;;;;;x
city_duke_albanian;Tregtar-Princ;Tregtar-Princ;;;;;;;;;;x
city_duchy_of_albanian;Republikë of;Republikë de;;;;;;;;;;x
job_chancellor_armenian;Kants'ler;Kants'ler;;;;;;;;;;x
job_spymaster_armenian;Khorhrdakan Mardik;Khorhrdakan Mardik;;;;;;;;;;x
job_treasurer_armenian;Kargdrich;Kargdrich;;;;;;;;;;x
job_marshal_armenian;Glkhavor;Glkhavor;;;;;;;;;;x
job_spiritual_armenian;Patriark;Patriark;;;;;;;;;;x
east_germanic;East Germanic;germanique oriental;;;;;;;;;x;
kingdom_of_east_germanic;Þiudinassus of;Þiudinassus de;;;;;;;;;;x
empire_of_east_germanic;Reiki;Reiki;;;;;;;;;;x
king_east_germanic;Þiudi;Þiudi;;;;;;;;;;x
emperor_east_germanic;Reiki;Reiki;;;;;;;;;;x
city_barony_of_east_germanic;Baurgs of;Baurgs de;;;;;;;;;;x
duke_east_germanic;Frauja;Frauja;;;;;;;;;;x
job_chancellor_east_germanic;Waurdei;Waurdei;;;;;;;;;;x
duchy_of_east_germanic;Frauj of;Frauj de;;;;;;;;;;x
city_baron_east_germanic;Garda-waldands;Garda-waldands;;;;;;;;;;x
job_marshal_east_germanic;Ana-biudanier;Ana-biudanier;;;;;;;;;;x
job_spymaster_east_germanic;Laugniber;Laugniber;;;;;;;;;;x
job_treasurer_east_germanic;Gagga;Gagga;;;;;;;;;;x
county_of_east_germanic;Bairgahei of;Bairgahei de;;;;;;;;;;x
count_east_germanic;Faura-manileis;Faura-manileis;;;;;;;;;;x
temple_count_east_germanic;Gudjinassus;Gudjinassus;;;;;;;;;;x
temple_county_of_east_germanic;Gudjinassi of;Gudjinassi de;;;;;;;;;;x
old_saxon;Old Saxon;vieux saxon;;;;;;;;;;x
HINT_COUNCIL_VIEW_TITLE_old_saxon;The Witan View;Vue du Witan;Ratsansicht;;La pantalla de Consejo;;;;;;;x
king_old_saxon;Kuning;Kuning;;;;;;;;;;x
king_female_old_saxon;Cwán;Cwán;;;;;;;;;;x
title_prince_old_saxon;Æþeleings;Æþeleings;;;;;;;;;;x
title_prince_female_old_saxon;Æþeleings;Æþeleings;;;;;;;;;;x
kingdom_of_old_saxon;Kunigdom of;Kunigdom de;;;;;;;;;;x
duchy_of_old_saxon;Edlingdom of;Edlingdom de;;;;;;;;;;x
job_chancellor_old_saxon;Mægester;Mægester;;;;;;;;;;x
job_marshal_old_saxon;Maraskalk;Maraskalk;;;;;;;;;;x
job_treasurer_old_saxon;Gistígan;Gistígan;;;;;;;;;;x
job_spymaster_old_saxon;Skadomagister;Skadomagister;;;;;;;;;;x
job_spiritual_old_saxon;Hugipréost;Hugipréost;;;;;;;;;;x
duke_old_saxon;Edlingi;Edlingi;;;;;;;;;;x
duke_female_old_saxon;Edlingia;Edlingia;;;;;;;;;;x
count_old_saxon;Frilingi;Frilingi;;;;;;;;;;x
count_female_old_saxon;Frilingia;Frilingia;;;;;;;;;;x
county_of_old_saxon;Gâ of;Gâ de;;;;;;;;;;x
