#New Duchies
d_lut;Dasht-e Lut;;;;;;;;;;;x
d_lut_adj;Dasht-e Lut;;;;;;;;;;;x
d_kavir;Dasht-e Kavir;;;;;;;;;;;x
d_kavir_adj;Dasht-e Kavir;;;;;;;;;;;x
d_qohistan;Qohistan;;;;;;;;;;;x
d_qohistan_adj;Qohistan;;;;;;;;;;;x
d_mesan;Mehsan;;;;;;;;;;;x
d_mesan_adj;Mehsan;;;;;;;;;;;x
d_hira;Hira;;;;;;;;;;;x
d_hira_adj;Hira;;;;;;;;;;;x
#Provinces and Titles
#Ohrmazd Ardeshir
c_ohrmazdardeshir;Ohrmazd Ardeshir;;;;;;;;;;;x
b_ohrmazdardeshir_castle;Ohrmazd Ardeshir;;;;;;;;;;;x
b_ohrmazdardeshir_city;Ohrmazd Ardeshir;;;;;;;;;;;x
b_ohrmazdardeshir_temple;Ohrmazd Ardeshir;;;;;;;;;;;x
#Beth Darai
c_bethdarai;Beth Darai;;;;;;;;;;;x
b_bethdarai_castle;Beth Darai;;;;;;;;;;;x
b_bethdarai_city;Beth Darai;;;;;;;;;;;x
b_bethdarai_temple;Beth Darai;;;;;;;;;;;x
#Sus
c_sus;Sus;;;;;;;;;;;x
b_sus_castle;Sus;;;;;;;;;;;x
b_sus_city;Sus;;;;;;;;;;;x
b_sus_temple;Sus;;;;;;;;;;;x
#Dastkart
c_dastkart;Dastkart;;;;;;;;;;;x
b_dastkart_castle;Dastkart;;;;;;;;;;;x
b_dastkart_city;Dastkart;;;;;;;;;;;x
b_dastkart_temple;Dastkart;;;;;;;;;;;x
#Hira
c_hira;Hira;;;;;;;;;;;x
b_hira_castle;Hira;;;;;;;;;;;x
b_hira_city;Hira;;;;;;;;;;;x
b_hira_temple;Hira;;;;;;;;;;;x
#Siz
c_siz;Siz;;;;;;;;;;;x
b_siz_castle;Siz;;;;;;;;;;;x
b_siz_city;Siz;;;;;;;;;;;x
b_siz_temple;Siz;;;;;;;;;;;x
#Afrahrot
c_afrahrot;Afrahrot;;;;;;;;;;;x
b_afrahrot_castle;Afrahrot;;;;;;;;;;;x
b_afrahrot_city;Afrahrot;;;;;;;;;;;x
b_afrahrot_temple;Afrahrot;;;;;;;;;;;x
#Tagrit
c_tagrit;Tagrit;;;;;;;;;;;x
b_tagrit_castle;Tagrit;;;;;;;;;;;x
b_tagrit_city;Tagrit;;;;;;;;;;;x
b_tagrit_temple;Tagrit;;;;;;;;;;;x
#Hatra
c_hatra;Hatra;;;;;;;;;;;x
b_hatra_castle;Hatra;;;;;;;;;;;x
b_hatra_city;Hatra;;;;;;;;;;;x
b_hatra_temple;Hatra;;;;;;;;;;;x
#Balad
c_balad;Balad;;;;;;;;;;;x
b_balad_castle;Balad;;;;;;;;;;;x
b_balad_city;Balad;;;;;;;;;;;x
b_balad_temple;Balad;;;;;;;;;;;x
#Asoristan
c_asoristan;Asoristan;;;;;;;;;;;x
b_asoristan_castle;Asoristan;;;;;;;;;;;x
b_asoristan_city;Asoristan;;;;;;;;;;;x
b_asoristan_temple;Asoristan;;;;;;;;;;;x
#Kaskar
c_kaskar;Kaskar;;;;;;;;;;;x
b_kaskar_castle;Kaskar;;;;;;;;;;;x
b_kaskar_city;Kaskar;;;;;;;;;;;x
b_kaskar_temple;Kaskar;;;;;;;;;;;x
#Mesan
c_mesan;Mesan;;;;;;;;;;;x
b_mesan_castle;Mesan;;;;;;;;;;;x
b_mesan_city;Mesan;;;;;;;;;;;x
b_mesan_temple;Mesan;;;;;;;;;;;x
#Shahrkart
c_shahrkart;Shahrkart;;;;;;;;;;;x
b_shahrkart_castle;Shahrkart;;;;;;;;;;;x
b_shahrkart_city;Shahrkart;;;;;;;;;;;x
b_shahrkart_temple;Shahrkart;;;;;;;;;;;x
#Arbil
c_arbil;Arbil;;;;;;;;;;;x
b_arbil_castle;Arbil;;;;;;;;;;;x
b_arbil_city;Arbil;;;;;;;;;;;x
b_arbil_temple;Arbil;;;;;;;;;;;x
#Newkart
c_newkart;Newkart;;;;;;;;;;;x
b_newkart_castle;Newkart;;;;;;;;;;;x
b_newkart_city;Newkart;;;;;;;;;;;x
