#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_stylite;the Stylite;le Stylite;;;;;;;;;;;;x
nick_the_schismatic;the Schismatic;le Schismatique;;;;;;;;;;;;x
nick_the_dismal;the Dismal;le Lugubre;;;;;;;;;;;;x
nick_the_catholic;the Catholic;le Catholique;el Catòlic';;;;;;;;;;;x
nick_the_dieudonne;Dieudonné;Dieudonné;;;;;;;;;;;;x
nick_the_hun;the Hun;le Hun;;;;;;;;;;;;x
nick_the_goth;the Goth;le Goth;;;;;;;;;;;;x
nick_the_beautiful;the Beautiful;le Beau;;;;;;;;;;;;x
nick_the_golden_touched;the Golden Touched;au touché d'or;;;;;;;;;;;;x
nick_the_roman_lover;the Roman-Lover;le Romanophile;;;;;;;;;;;;x
nick_the_valiant;the Valiant;le Vaillant;;;;;;;;;;;;x
nick_the_wolf_head;the Wolf Head;la Tête de Loup;;;;;;;;;;;;x
nick_the_galahad;the Galahad;le Galahad;;;;;;;;;;;;x
nick_the_holy_king;Holy King;le Roi Saint;;;;;;;;;;;;x
nick_the_true_king_of_england;the True King of England;le Véritable roi d'Angleterre;;;;;;;;;;;;x
nick_the_brute;the Brute;la Brute;;;;;;;;;;;;x
nick_caesar_augustus;Augustus;Auguste;;;;;;;;;;;;x
nick_the_cornish;the Cornish;;;;;;;;;;;;;x
nick_luyddog;Luyddog;;;;;;;;;;;;;x
nick_albus;Albus;;;;;;;;;;;;;x
nick_the_fleet_owner;the Fleet owner;l'Armateur;;;;;;;;;;;;x
nick_the_skald;the Skald;;;;;;;;;;;;;x
nick_dicoros;Dicoros;;;;;;;;;;;;;x
##### Roman agnomen (do not translate, will default to English = Latin);;;;;;;;;;;;;;x
nick_aegyptus;Aegyptus;;;;;;;;;;;;;x
nick_africanus;Africanus;;;;;;;;;;;;;x
nick_alamannicus;Alamannicus;;;;;;;;;;;;;x
nick_alanicus;Alanicus;;;;;;;;;;;;;x
nick_anticus;Anticus;;;;;;;;;;;;;x
nick_arabicus;Arabicus;;;;;;;;;;;;;x
nick_armeniacus;Armeniacus;;;;;;;;;;;;;x
nick_asiaticus;Asiaticus;;;;;;;;;;;;;x
nick_britannicus;Britannicus;;;;;;;;;;;;;x
nick_creticus;Creticus;;;;;;;;;;;;;x
nick_dacicus;Dacicus;;;;;;;;;;;;;x
nick_francicus;Francicus;;;;;;;;;;;;;x
nick_gallicus;Gallicus;;;;;;;;;;;;;x
nick_germanicus;Germanicus;;;;;;;;;;;;;x
nick_gothicus;Gothicus;;;;;;;;;;;;;x
nick_hispanicus;Hispanicus;;;;;;;;;;;;;x
nick_italicus;Italicus;;;;;;;;;;;;;x
nick_isauricus;Isauricus;;;;;;;;;;;;;x
nick_macedonicus;Macedonicus;;;;;;;;;;;;;x
nick_medicus;Medicus;;;;;;;;;;;;;x
nick_numidicus;Numidicus;;;;;;;;;;;;;x
nick_parthicus;Parthicus;;;;;;;;;;;;;x
nick_persicus;Persicus;;;;;;;;;;;;;x
nick_sarmaticus;Sarmaticus;;;;;;;;;;;;;x
nick_vandalicus;Vandalicus;;;;;;;;;;;;;x
nick_thracus;Thracus;;;;;;;;;;;;;x
nick_ponticus;Ponticus;;;;;;;;;;;;;x
