PATRONS_DRU;Choose a Patron Deity;;;;;;;;;;;;;x
PATRONS_DRU_desc;You can choose a personal patron deity from among the many powerful gods and godesses of the Celtic faith.;;;;;;;;;;;;;x
PATRONS_DRU.1.desc;I should dedicate myself to a particular deity and let their power inform my rule.;;;;;;;;;;;;;x
PATRONS_DRU.1.a;Angus the young;;;;;;;;;;;;;x
PATRONS_DRU.1.b;The powerful Ogma.;;;;;;;;;;;;;x
PATRONS_DRU.1.c;Silver hand Nuada.;;;;;;;;;;;;;x
PATRONS_DRU.1.d;There are others...;;;;;;;;;;;;;x
PATRONS_DRU.2.desc;These are all powerful deities. Choosing one of them as my patron deity would be a testament to the power of my dynasty.;;;;;;;;;;;;;x
PATRONS_DRU.2.a;The deceptive Manannan.;;;;;;;;;;;;;x
PATRONS_DRU.2.b;The Daghda, all-father.;;;;;;;;;;;;;x
PATRONS_DRU.2.c;Dana, the mother.;;;;;;;;;;;;;x
PATRONS_DRU.2.d;On second thought...;;;;;;;;;;;;;x
patron_angus;Dedicated to Angus;;;;;;;;;;;;;x
patron_ogma;Dedicated to Ogma;;;;;;;;;;;;;x
patron_nuada;Dedicated to Nuada;;;;;;;;;;;;;x
patron_manannan;Dedicated to Manannan;;;;;;;;;;;;;x
patron_daghda;Dedicated to Daghda;;;;;;;;;;;;;x
patron_dana;Dedicated to Dana;;;;;;;;;;;;;x
