d_yamama_tribe;Yamama;;;;;;;;;;x
d_yamama_tribe_adj;Yamama;;;;;;;;;;x
d_tara;Lusitania;;;;;;;;;;x
d_tara_adj;Lusitanian;;;;;;;;;;x
e_armenia;Armenia;;;;;;;;;;x
e_armenia_adj;Armenia;;;;;;;;;;x
e_assyria;Neo-Assyrian Empire;;;;;;;;;;x
e_assyria_adj;Assyrian;;;;;;;;;;x
ASSYRIAN_KING;Sarrum;;;;;;;;;;x
ASSYRIAN_QUEEN;Sarrumi;;;;;;;;;;x
d_massalia;Massalia;;;;;;;;;;;;;x
d_massalia_adj;Massalian;;;;;;;;;;;;;x
d_tabuk;Tabuk;;;;;;;;;;;;;x
d_tabuk_adj;Tabuk;;;;;;;;;;;;;x
d_jouf;Jouf;;;;;;;;;;;;;x
d_jouf_adj;Jouf;;;;;;;;;;;;;x
d_hijaz;Hijaz;;;;;;;;;;;;;x
d_hijaz_adj;Hijaz;;;;;;;;;;;;;x
d_asir;Asir;;;;;;;;;;;;;x
d_asir_adj;Asir;;;;;;;;;;;;;x
d_makkah;Makkah;;;;;;;;;;;;;x
d_makkah_adj;Makkah;;;;;;;;;;;;;x
d_azal;Azal;;;;;;;;;;;;;x
d_azal_adj;Azal;;;;;;;;;;;;;x
d_hadramawt;Hadramawt;;;;;;;;;;;;;x
d_hadramawt_adj;Hadramawt;;;;;;;;;;;;;x
d_mahara;Mahara;;;;;;;;;;;;;x
d_mahara_adj;Mahara;;;;;;;;;;;;;x
d_wusta;Wusta;;;;;;;;;;;;;x
d_wusta_adj;Wusta;;;;;;;;;;;;;x
d_dubai;Dubai;;;;;;;;;;;;;x
d_dubai_adj;Dubai;;;;;;;;;;;;;x
d_al_hasa;Al-Hasa;;;;;;;;;;;;;x
d_al_hasa_adj;Al-Hasa;;;;;;;;;;;;;x
d_rub_al_khali;Rub'al Khali;;;;;;;;;;;;;x
d_rub_al_khali_adj;Rub'al Khali;;;;;;;;;;;;;x
d_najran;Najran;;;;;;;;;;;;;x
d_najran_adj;Najran;;;;;;;;;;;;;x
d_hail;Hail;;;;;;;;;;;;;x
d_hail_adj;Hail;;;;;;;;;;;;;x
d_rummah;Rummah;;;;;;;;;;;;;x
d_rummah_adj;Rummah;;;;;;;;;;;;;x
d_jubbah;Jubbah;;;;;;;;;;;;;x
d_jubbah_adj;Jubbah;;;;;;;;;;;;;x
d_hajr;Hajr;;;;;;;;;;;;;x
d_hajr_adj;Hajr;;;;;;;;;;;;;x
e_north_africa;Africa;;;;;;;;;;;;;x
e_north_africa_adj;African;;;;;;;;;;;;;x
e_greece;Greece;;;;;;;;;;;;;x
e_greece_adj;Greek;;;;;;;;;;;;;x
e_finland;Suomen Valtakunta;;;;;;;;;;;;;x
