#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
VIETmisc.11000.name;Terrifying;;;;;;;;;;;;;x
VIETmisc.11000.desc;Terrifying;;;;;;;;;;;;;x
VIETmisc.11000.a;Terrifying;;;;;;;;;;;;;x
VIETmisc.11001.name;Terrifying;;;;;;;;;;;;;x
VIETmisc.11001.desc;Terrifying;;;;;;;;;;;;;x
VIETmisc.11001.a;Terrifying;;;;;;;;;;;;;x
VIETmisc.11002.name;Terrifying;;;;;;;;;;;;;x
VIETmisc.11002.desc;Terrifying;;;;;;;;;;;;;x
VIETmisc.11002.a;Terrifying;;;;;;;;;;;;;x
VIETmisc.11003.name;Terrifying;;;;;;;;;;;;;x
VIETmisc.11003.desc;Terrifying;;;;;;;;;;;;;x
VIETmisc.11003.a;Terrifying;;;;;;;;;;;;;x
