israel.100.desc;For many years I have ruled over Israel, but always stuck inside the confines of holy Jerusalem, I have found that I know very little of the rest of my realm, particularly the countryside. Today, I decided to take some trusted courtiers and travel north, where the weather might be better.;Pendant de nombreuses années, j'ai régné sur Israël, mais toujours coincé à l'intérieur des limites de la sainte Jérusalem, j'ai constaté que je ne connais pas grand-chose du reste de mon royaume, en particulier la campagne. Aujourd'hui, j'ai décidé d'emmener des courtisans de confiance et de voyager vers le nord, où le temps pourrait être plus clément.;;;;;;;;;;x
israel.100.a;I will travel north towards the Galilee!;Je partirai vers le nord en direction de la Galilée !;;;;;;;;;;x
israel.100.tooltip;You travel north to survey your realm.;Vous voyagez vers le nord pour explorer votre royaume.;;;;;;;;;;x
israel.101.desc;The north of Israel is beautiful. Unlike the dry and flat center, I've seen forests and orchards, valleys and mountains... truly, I must come here more often. While travelling through the hills of the Galilee, we stumbled upon a village and I proposed that we visit it for refreshment, but our guide advises that it is not a Jewish village, so we may be ill received.;Le nord d'Israël est magnifique. Contrairement au centre sec et plat, j'ai vu des forêts et des vergers, des vallées et des montagnes... vraiment, je dois venir ici plus souvent. En voyageant à travers les collines de la Galilée, nous sommes tombés sur un village et j'ai proposé que nous le visitions pour nous rafraîchir, mais notre guide conseille que ce n'est pas un village juif, donc nous pouvons être mal reçu.;;;;;;;;;;x
israel.101.a;Nonsense, I am sure they will receive me well.;Sottises, je suis sûr qu'ils me recevront bien.;;;;;;;;;;x
israel.101.b;Yes, that sounds prudent. Let us go back.;Oui, ça semble prudent. Revenons en arrière.;;;;;;;;;;x
israel.101.tooltip;You descend upon the village to meet its people.;Vous vous dirigez vers le village pour rencontrer sa population.;;;;;;;;;;x
israel.102.name;A village in the Galilee;Un village en Galilée;;;;;;;;;;x
israel.102.desc;The village is peaceful and quiet, and it seems the peasants devote themselves to dairy farming, judging by all the cows. As my entourage arrives, I can see that some of my companions feel unease with entering a non-Jewish location, a feeling shared by the first villagers to see us. It seems we are likely the first nobility to come here in many years. As I reach the town center, an old man approaches the entourage and is quick to welcomes me to the village. After some initial pleasantries, he invites me inside for a chat. The invitations draws some sneers from those who came with me..;Le village est paisible et tranquille, et il semble que les paysans se consacrent à la production laitière, à en juger par toutes les vaches. Lorsque mon entourage arrive, je vois que certains de mes compagnons se sentent mal à l'aise d'entrer dans un lieu non juif, un sentiment partagé par les premiers villageois qui nous voit. Il semble que nous soyons probablement la première noblesse à venir ici depuis de nombreuses années. Quand j'arrive au centre ville, un vieil homme s'approche de l'entourage et me souhaite la bienvenue au village. Après quelques plaisanteries initiales, il m'invite à l'intérieur pour une conversation. La convocation attirent quelques ricanements de ceux qui sont venus avec moi...;;;;;;;;;;x
israel.102.a;Of course, I am always ready to talk to my subjects.;Bien sûr, je suis toujours prêt à parler avec mes sujets.;;;;;;;;;;x
israel.102.b;Actually, get some water so we can get going.;En fait, allez chercher de l'eau pour qu'on puisse y aller.;;;;;;;;;;x
israel.102.tooltip;You and the old man exchange words.;Vous et le vieux échangez quelques mots.;;;;;;;;;;x
