#Religion Names;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
#Holy Book, Priest, and God Names;;;;;;;;;;;;;;x
THE_GINZA_RABA;The Ginza Raba;La Ginza Raba;Die Ginza Raba;;La Ginza Raba;;;;;;;;;x
GOD_ABATUR;Abatur;Abatur;Abatur;;Abatur;;;;;;;;;x
THE_QAWLS;The Qawls;Les Qawls;Die Qawlen;;Las Qawls;;;;;;;;;x
GOD_MELEK_TAUS;Melek Taus;Melek Taus;Melek Taus;;Melek Taus;;;;;;;;;x
GOD_THE_HEFT_SIRR;the Heft Sirr;les Heft Sirr;die Heft Sirr;;Los Heft Sirr;;;;;;;;;x
#GOD_THE_FATHER_OF_GREATNESS;The Father of Greatness;Le Père de la Grandeur;The Father of Greatness;;The Father of Greatness;;;;;;;;;x
GOD_THE_MOTHER_OF_LIFE;The Mother of Life;La Mère de la Vie;The Mother of Life;;The Mother of Life;;;;;;;;;x
GOD_JESUS_THE_SPLENDOR;Jesus the Splendor;Jésus le Splendide ;Jesus the Splendor;;Jesus the Splendor;;;;;;;;;x
#THE_EVANGELION;The Evangelion;L'Evangelion;Die Evangelion;;La Evangelion;;;;;;;;;x
GOD_THE_BUDDHAS;The Buddhas;Les Bouddhas;;;;;;;;;;;;x
GOD_THE_BODHISATTVAS;The Bodhisattvas;Les Bodhisattvas;;;;;;;;;;;;x
THE_SUTRAS;The Sutras;Les Sutras;;;;;;;;;;;;x
THE_VEDAS;The Vedas;Les Vedas;;;;;;;;;;;;x
THE_PESHITTA;The Peshitta;La Peshitta;;;;;;;;;;;;x
THE_PENTATEUCH;The Pentateuch;Le Pentateuque;;;;;;;;;;;;x
THE_KING_OF_DARKNESS;the King of Darkness;le Roi des Ténèbres;;;;;;;;;;;;x
DEMONS_OF_DARKNESS;the Demons of Darkness;le Démons des Ténèbres;;;;;;;;;;;;x
MANICHEAN_ELECT;member of the Elect;membre de l'Assemblée élue;;;;;;;;;;;;x
BUDDHIST_MARA;Mara;Mara;;;;;;;;;;;;x
THE_ASURAS;the Asuras;les Asuras;;;;;;;;;;;;x
BUDDHIST_MONK;monk;moine;;;;;;;;;;;;x
HINDU_GURU;guru;guru;;;;;;;;;;;;x
EVIL_PTAHIL;Ptahil;Ptahil;;;;;;;;;;;;x
THE_KALAM_E_SARANJAM;the Kalam-e Saranjam;Le Kalam-e Saranjam;;;;;;;;;;;;x
#Shiite Theological schools;;;;;;;;;;;;;;x
embrace_twelver_shiism;Embrace Twelver Shiism;Embrasser le Chiisme Duodécimain;;;;;;;;;;;;x
embrace_sevener_shiism;Embrace Sevener Shiism;Embrasser le Chiisme Ismaéliens;;;;;;;;;;;;x
embrace_fiver_shiism;Embrace Fiver Shiism;Embrasser le Chiisme Zaïdisme;;;;;;;;;;;;x
embrace_twelver_shiism_desc;Twelver or Imami Shiism is a legalistic branch of Shiism that recognises twelve imams.;Le Chiisme Duodécimain est une branche légaliste du chiisme qui reconnaît douze imams.;;;;;;;;;;;;x
embrace_sevener_shiism_desc;Sevener or Ismaili Shiism is a mystical branch of Shiism that recognises seven imams.;Le Chiisme Ismaéliens  est une branche mystique du chiisme qui reconnaît sept imams.;;;;;;;;;;;;x
embrace_fiver_shiism_desc;Fiver or Zaydi Shiism is a moderate branch of Shiism that recognises five imams.;Le Chiisme Zaïdisme est une branche modérée du chiisme qui reconnaît cinq imams.;;;;;;;;;;;;x
embrace_twelver.tooltip;Officially adopt the Twelver Sect of Shiism.;Adopter officiellement la secte Chiite Duodécimain.;;;;;;;;;;;;x
embrace_sevener.tooltip;Officially adopt the Sevener Sect of Shiism.;Adopter officiellement la secte Chiite Ismaéliens.;;;;;;;;;;;;x
embrace_fiver.tooltip;Officially adopt the Fiver Sect of Shiism.;Adopter officiellement la secte Chiite Zaïdisme.;;;;;;;;;;;;x
twelver_desc;This Shiite character is part of the Imami or Twelver sect that recognises twelve imams. They are more literalistic and legalistic compared to some Shiite sects in matters of theology, focusing on divine law (shari'ah) and the deeds and sayings (sunnah) of Muhammad and his successors (the Ahlu l-Bayt), who as A'immah were guides and a light to God.;Ce personnage chiite fait partie de la secte Duodécimain qui reconnaît douze imams. Ils sont plus littéraux et légalistes que certaines sectes chiites en matière de théologie, se concentrant sur la loi divine (shari'ah) et les actes et les paroles (sunnah) de Mahomet et de ses successeurs (l'Ahlu l-Bayt), qui, comme A'immah, étaient des guides et une lumière pour Dieu.;;;;;;;;;;;;x
sevener;Ismaili;Ismaéliens;;;;;;;;;;;;x
sevener_desc;This Shiite character is part of the Ismaili or Sevener sect that recognises seven imams. They focus on the mystical path and nature of God and the divine manifestation in the personage of the "Imam of the Time" as the "Face of God".;Ce personnage chiite fait partie de la secte Ismaéliens qui reconnaît sept imams. Ils se concentrent sur le chemin mystique et la nature de Dieu et la manifestation divine dans le personnage de "l'Imam du Temps" comme "Visage de Dieu".;;;;;;;;;;;;x
fiver;Zaydi;Zaïdisme;;;;;;;;;;;;x
fiver_desc;This Shiite character is part of the Zaydi or Fiver sect that recognises five imams. Compared to other Shiite branches, the Zaydi bear many similarities with the Sunni, and are known to be more tolerant and moderate. They are also theologically close, though not exactly similar, to the rationalist Mu'tazili school of Sunni Islam.;Ce personnage chiite fait partie de la secte Zaïdisme qui reconnaît cinq imams. Par rapport aux autres branches chiites, les Zaïdistes ont beaucoup de similitudes avec les sunnites, et sont connus pour être plus tolérants et modérés. Ils sont aussi théologiquement proches, quoique pas exactement semblables, de l'école rationaliste Mu'tazili de l'islam sunnite.;;;;;;;;;;;;x
#VIETmisc.200.desc;I am no longer a Shiite, so why should I care about how many imams there are?;Je ne suis plus chiite, alors pourquoi devrais-je me soucier du nombre d'imams qu'il y a ?;;;;;;;;;;;;x
#VIETmisc.200.a;Interesting that I was once an infidel, no?;Intéressant que j'ai déjà été un infidèle, non ?;;;;;;;;;;;;x
VIETmisc.201.desc;The Twelver or Imami sect of Shiism recognises twelve imams. Generally, their theology is more literalistic and legalistic in interpretation compared to other Shiite schools. You and many of the learned men of your realm now adhere to this sect.;La secte Chiiste Duodécimain reconnaît douze imams. En général, leur théologie est plus littérale et légaliste dans l'interprétation que les autres écoles chiites. Vous et beaucoup des savants de votre royaume adhérez maintenant à cette secte.;;;;;;;;;;;;x
VIETmisc.201.a;Allahuakbar!;Allahuakbar !;;;;;;;;;;;;x
VIETmisc.202.desc;The Sevener or Ismaili sect of Shiism recognises seven imams. They tend to focus on the more mystical aspects of theology in contrast to other Shiite schools. You and many of the learned men of your realm now adhere to this sect.;La secte Chiiste Duodécimain reconnaît sept imams. Ils ont tendance à se concentrer sur les aspects plus mystiques de la théologie contrairement aux autres écoles chiites. Vous et beaucoup des savants de votre royaume adhérez maintenant à cette secte.;;;;;;;;;;;;x
VIETmisc.202.a;Allahuakbar!;Allahuakbar !;;;;;;;;;;;;x
VIETmisc.203.desc;The Fiver or Zaydi sect of Shiism recognises five imams. Somewhat more tolerant and moderate in contrast with other Shiite sects, they are rather close to the Sunni theologically, particularly the rationalist Mu'tazili school. You and many of the learned men of your realm now adhere to this sect.;La secte Chiiste Zaïdisme reconnaît cinq imams. Un peu plus tolérants et modérés en contraste avec d'autres sectes chiites, ils sont plutôt proches théologiquement des sunnites, en particulier de l'école rationaliste Mu'tazili. Vous et beaucoup des savants de votre royaume adhérez maintenant à cette secte.;;;;;;;;;;;;x
VIETmisc.203.a;Allahuakbar!;Allahuakbar !;;;;;;;;;;;;x
VIETmisc.204.desc;xxxxx;xxxxx;;;;;;;;;;;;x
VIETmisc.204.a;xxxxx;xxxxx;;;;;;;;;;;;x
VIETmisc.200.desc;[From.GetTitledFirstName] is not a Twelver Shiite, even though you are. Perhaps you should have a word with [From.GetHerHim].;[From.GetTitledFirstName] n'est pas un Chiite Duodécimain, même si vous l'êtes. Peut-être devriez-vous parler avec [From.GetHerHim].;;;;;;;;;;;;x
VIETmisc.200.a;xxxxx;xxxxx;;;;;;;;;;;;x
VIETmisc.205.desc;It has come to my attention that you're a follower of a heretical Shiite sect. Their tenets and philosophies are an affront to Allah and the teachings of the Prophet (peace be upon him). I urge you instead to embrace Twelver Shiism.\n\nSigned,\n[From.GetTitledFirstName];J'ai appris que vous êtes un adepte d'une secte chiite hérétique. Leurs principes et philosophies sont un affront à Allah et aux enseignements du Prophète (que la paix soit sur lui). Je vous conseille plutôt d'adopter le Chiisme Duodécimain.\n\nSigné,\n[From.GetTitledFirstName];;;;;;;;;;;;x
VIETmisc.205.a;Never!;Jamais !;;;;;;;;;;;;x
VIETmisc.206.tooltip;You send word that you agree to adopt Twelver Shiism.;Vous envoyez le mot que vous acceptez d'adopter le Chiisme Duodécimain;;;;;;;;;;;;x
VIETmisc.206.desc;As always, my liege, your wisdom far exceeds my own. If you think it best, I will abandon my infidel beliefs and instead embrace the doctrines of Twelver Shiism.\n\nSigned,\n[From.GetTitledFirstName];Comme toujours, votre sagesse dépasse de loin la mienne. Si vous le pensez ainsi, j'abandonnerai mes croyances infidèles et j'adopterai les doctrines du Chiisme Duodécimain.\n\nSigné\n[From.GetTitledFirstName];;;;;;;;;;;;x
VIETmisc.206.a;xxxxx;xxxxx;;;;;;;;;;;;x
VIETmisc.207.tooltip;You send word that you refuse to adopt Twelver Shiism.;Vous envoyez le mot que vous refusez d'adopter le Chiisme Duodécimain;;;;;;;;;;;;x
VIETmisc.207.desc;You may be my liege in the mortal world, but do not presume to dictate how I lead my spiritual life. That is between me, Allah and the Prophet (peace be upon them). I have no intention of adopting the infidel ways of Twelver Shiism.\n\nSigned,\n[From.GetTitledFirstName];Vous pouvez être mon seigneur dans le monde des mortels, mais ne vous donnez pas la prétention de dicter comment je mène ma vie spirituelle. C'est entre moi, Allah et le Prophète (que la paix soit sur eux). Je n'ai pas l'intention d'adopter les manières infidèles du Chiisme Duodécimain.\n\nSigné,\n[From.GetTitledFirstName];;;;;;;;;;;;x
VIETmisc.207.a;xxxxx;xxxxx;;;;;;;;;;;;x
VIETmisc.208.desc;xxxxx;xxxxx;;;;;;;;;;;;x
VIETmisc.208.a;xxxxx;xxxxx;;;;;;;;;;;;x
VIETmisc.209.desc;[From.GetTitledFirstName] is not a Sevener Shiite, even though you are. Perhaps you should have a word with [From.GetHerHim].;[From.GetTitledFirstName] n'est pas un Chiite Ismaéliens, même si vous l'êtes. Peut-être devriez-vous parler avec [From.GetHerHim].;;;;;;;;;;;;x
VIETmisc.209.a;xxxxx;xxxxx;;;;;;;;;;;;x
