#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
###### New province names, custom regions, counties, baronies, etc.;;;;;;;;;;;;x
###### Provinces;;;;;;;;;;;;x
PROV1466;Rhid;;;;;;;;;;;x
PROV1467;Issh'a;;;;;;;;;;;x
PROV1468;Temeddit;;;;;;;;;;;x
PROV1469;Tivremt;;;;;;;;;;;x
PROV1470;Gewwed;;;;;;;;;;;x
PROV1471;Murzuk;;;;;;;;;;;x
PROV1472;Sewwa;;;;;;;;;;;x
PROV1473;Arrimata;;;;;;;;;;;x
PROV1474;Tammuat;;;;;;;;;;;x
PROV1475;Azeggif;;;;;;;;;;;x
PROV1476;Aqey;;;;;;;;;;;x
PROV1477;Sidi;;;;;;;;;;;x
PROV1478;Aziyra;;;;;;;;;;;x
PROV1479;Ymi;;;;;;;;;;;x
PROV1480;Mya;;;;;;;;;;;x
PROV1481;Garama;;;;;;;;;;;x
PROV1482;Rqa;;;;;;;;;;;x
PROV1483;Aggweh;;;;;;;;;;;x
PROV1484;Ruh;;;;;;;;;;;x
PROV1485;Ndi;;;;;;;;;;;x
PROV1486;Taxseft;;;;;;;;;;;x
PROV1487;Rifexx;;;;;;;;;;;x
PROV1488;Kkes;;;;;;;;;;;x
PROV1489;Tecsi Aceddis;;;;;;;;;;;x
PROV1490;Ssger;;;;;;;;;;;x
PROV1491;Glisiya;;;;;;;;;;;x
PROV1492;Tamziyda;;;;;;;;;;;x
PROV1493;Ikanisa;;;;;;;;;;;x
PROV1494;Pr'uba;;;;;;;;;;;x
PROV1495;Refd'ua;;;;;;;;;;;x
PROV1496;Imakla;;;;;;;;;;;x
PROV1497;Mmekli;;;;;;;;;;;x
PROV1498;Tizizwa;;;;;;;;;;;x
PROV1499;Amenyi;;;;;;;;;;;x
PROV1500;Acsum;;;;;;;;;;;x
PROV1501;T'ur'u;;;;;;;;;;;x
PROV1502;Afunas;;;;;;;;;;;x
PROV1503;Tafunast;;;;;;;;;;;x
PROV1504;Nafusa;;;;;;;;;;;x
PROV1505;Azegran;;;;;;;;;;;x
PROV1506;Sarbisa;;;;;;;;;;;x
PROV1507;Birra;;;;;;;;;;;x
PROV1508;Qseh;;;;;;;;;;;x
PROV1509;Nardalte;;;;;;;;;;;x
PROV1510;Idakattakhe;;;;;;;;;;;x
PROV1511;Talla;;;;;;;;;;;x
PROV1512;Dhante;;;;;;;;;;;x
PROV1513;Atide;;;;;;;;;;;x
PROV1514;Nhasbisse;;;;;;;;;;;x
PROV1515;Dousbihane;;;;;;;;;;;x
PROV1516;Alaykoom;;;;;;;;;;;x
PROV1517;Labass;;;;;;;;;;;x
PROV1518;Aghrom;;;;;;;;;;;x
PROV1519;Bslama;;;;;;;;;;;x
PROV1520;Atay;;;;;;;;;;;x
PROV1521;Adkaddakhe;;;;;;;;;;;x
PROV1522;Iyi;;;;;;;;;;;x
PROV1523;Illagrashe;;;;;;;;;;;x
PROV1524;Makrane;;;;;;;;;;;x
PROV1525;Washe;;;;;;;;;;;x
PROV1526;Milmy;;;;;;;;;;;x
PROV1527;Ghih;;;;;;;;;;;x
PROV1528;Rass;;;;;;;;;;;x
PROV1529;Mahella;;;;;;;;;;;x
PROV1530;Sem;;;;;;;;;;;x
PROV1531;Elkemen;;;;;;;;;;;x
PROV1532;Rweqt;;;;;;;;;;;x
PROV1533;Iwdan;;;;;;;;;;;x
PROV1534;Ddis;;;;;;;;;;;x
PROV1535;Tornio;;;;;;;;;;;x
PROV1536;Darrec;;;;;;;;;;;x
PROV1537;Ipitrul;;;;;;;;;;;x
PROV1538;Aflur;;;;;;;;;;;x
PROV1539;Iri;;;;;;;;;;;x
PROV1540;Marrya;;;;;;;;;;;x
PROV1541;Corniclanum;;;;;;;;;;;x
PROV1542;Zznun;;;;;;;;;;;x
PROV1543;Zygra;;;;;;;;;;;x
PROV1544;Tivzenna;;;;;;;;;;;x
PROV1545;Ingenigena;;;;;;;;;;;x
PROV1546;Aneb;;;;;;;;;;;x
PROV1547;Manzakine;;;;;;;;;;;x
PROV1548;Tighemi;;;;;;;;;;;x
PROV1549;Souk;;;;;;;;;;;x
PROV1550;Rmihe;;;;;;;;;;;x
PROV1551;Menshke;;;;;;;;;;;x
PROV1552;Arebi;;;;;;;;;;;x
PROV1553;Shuaybah;;;;;;;;;;;x
PROV1554;Wafrah;;;;;;;;;;;x
PROV1555;Khatt;;;;;;;;;;;x
PROV1556;Hofuf;;;;;;;;;;;x
PROV1557;Salwa;;;;;;;;;;;x
PROV1558;As Sila';;;;;;;;;;;x
PROV1559;Burayami;;;;;;;;;;;x
PROV1560;Ibri;;;;;;;;;;;x
PROV1561;Matrah;;;;;;;;;;;x
PROV1562;Nizwa;;;;;;;;;;;x
PROV1563;Khaluf;;;;;;;;;;;x
PROV1564;Al Masira;;;;;;;;;;;x
PROV1565;Fararah;;;;;;;;;;;x
PROV1566;Hayama;;;;;;;;;;;x
PROV1567;Shishur;;;;;;;;;;;x
PROV1568;Hamidan;;;;;;;;;;;x
PROV1569;Qatar;;;;;;;;;;;x
PROV1570;Wabar;;;;;;;;;;;x
PROV1571;Shahan;;;;;;;;;;;x
PROV1572;Ubaylah;;;;;;;;;;;x
PROV1573;Mahrah;;;;;;;;;;;x
PROV1574;Ka'ab;;;;;;;;;;;x
PROV1575;Riyadh;;;;;;;;;;;x
PROV1576;Salemy;;;;;;;;;;;x
PROV1577;Abraq;;;;;;;;;;;x
PROV1578;Mushayt;;;;;;;;;;;x
PROV1579;Najran;;;;;;;;;;;x
PROV1580;Sif;;;;;;;;;;;x
PROV1581;Ataq;;;;;;;;;;;x
