#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
####### 
#Titles;;;;;;;;;;;x

k_kashgar;Kashgar;;;;;;;;;;x

k_kashgar_adj;Kashgar;;;;;;;;;;x

k_khotan;Khotan;;;;;;;;;;x

k_khotan_adj;Khotanese;;;;;;;;;;x

k_shanshan;Shanshan;;;;;;;;;;x

k_shanshan_adj;Shanshani;;;;;;;;;;x

k_kucha;Kucha;;;;;;;;;;x

k_kucha_adj;Kuchan;;;;;;;;;;x

k_karasahr;Karasahr;;;;;;;;;;x

k_karasahr_adj;Karasahrli;;;;;;;;;;x

k_turfan;Turfan;;;;;;;;;x

k_turfan_adj;Turfani;;;;;;;;;;x

k_jimasa;Jimasa;;;;;;;;;;x

k_tuyuhun;Tuyuhun;;;;;;;;;;x

k_tuyuhun_adj;Tuyuhun;;;;;;;;;;x

d_tiele;Tiele;;;;;;;;;;x

d_tiele_adj;Tiele;;;;;;;;;;x

sakan;Sakan;;;;;;;;;;x

gandhari;Gandhari;;;;;;;;;;x

xianbei;Xianbei;;;;;;;;;;x

tangut;Tangut;;;;;;;;;;x
tiele;Tiele;;;;;;;;;;x

xiongnu;Xiongnu;;;;;;;;;;x

sinic;Sinic;;;;;;;;;;x

han;Han;;;;;;;;;;x

k_northern_liang;Northern Lang;;;;;;;;;;x

k_northern_liang_adj;Liang;;;;;;;;;;x

k_gaochang;Gaochang;;;;;;;;;;x

gushi;Gushi;;;;;;;;;;x

root_west_pagan;Root West;;;;;;;;;;x

root_west_pagan_DESC;Religion of the Tangut people.;;;;;;;;;;x

chinese_group;Chinese;;;;;;;;;;x

THE_LUNYU;The Lunyu;;;;;;;;;;x

MUSHI;Mushi;;;;;;;;;;x

DAO;Dao;;;;;;;;;;x
MONTHLY_PIETY_DAO;Monthly Dao Increase;;;;;;;;;;x
STAT_PIETY_DAO;Dao;;;;;;;;;;x
STAT_PIETY_DESC_DAO;;;;;;;;;;;x
STAT_PIETY_MENU_DAO;§YDao§!;;;;;;;;;;x

GOD_SHEN;Shen;;;;;;;;;;x

GOD_THE_HEAVEN;The Heaven;;;;;;;;;;x

GOD_THE_GREAT_ONE;The Great One;;;;;;;;;;x

GOD_THE_DAO;The Dao;;;;;;;;;;x

PROPHET_CONFUCIUS;Confucius;;;;;;;;;;x

XIAOREN;Xiaoren;;;;;;;;;;x

CHAOS;Chaos;;;;;;;;;;x

IGNORANCE;Ignorance;;;;;;;;;;x

confucianism;Confucian;;;;;;;;;;x

confucianism_DESC;Confucianism is an ethical and philosophical religion founded by Confucius, centered on humanism, awareness, family, and good service. After Confucius' death the religion would gain more metaphysical and supernatural components.;;;;;;;;;;x

taoism;Taoist;;;;;;;;;;x

TAO_TE_CHING;Tao Te Ching;;;;;;;;;;x

GOD_YANG;Yang;;;;;;;;;;x

PROPHET_ZHUANGZI;Zhuangzi;;;;;;;;;;x

PROPHET_LAOZI;Laozi;;;;;;;;;;x

YIN;Yin;;;;;;;;;;x

taoism_DESC;Taoism, coming from the word Tao meaning "Way", is a religion centered on living in the balance and harmony with The Tao. Highly dualistic, Taoism includes two conflicting forces known as Yin and Yang.;;;;;;;;;;x

king_adnanite;Malik;;;;;;;;;x

kingdom_of_adnanite;Malikate of;;;;;;;;;;x

duke_adnanite;High Chief;;;;;;;;;;x

duchy_of_adnanite;High Chiefdom of;;;;;;;;;;x

count_adnanite;Chief;;;;;;;;;;x

county_of_adnanite;Chiefdom of;;;;;;;;;;x

;;;;;;;;;;;x

;;;;;;;;;;;x

;;;;;;;;;;;x

;;;;;;;;;;;x

;;;;;;;;;;;x

;;;;;;;;;;;x

;;;;;;;;;;;x

;;;;;;;;;;;x

;;;;;;;;;;;x

;;;;;;;;;;;x

;;;;;;;;;;;x

;;;;;;;;;;;x

;;;;;;;;;;;x

;;;;;;;;;;;x

;;;;;;;;;;;x
