#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
####### Titles;;;;;;;;;;;x
k_athens;Athens;Athènes;;;;;;;;;;x
k_ahtens_adj;Athenian;Athénien;;;;;;;;;;x
k_sparta;Sparta;Sparte;;;;;;;;;;x
k_sparta_adj;Spartan;Spartiate;;;;;;;;;;x
k_thracia;Thracia;Thrace;;;;;;;;;;x
k_thracia_adj;Thracian;Thrace;;;;;;;;;;x
k_illyria;Illyria;Illyrie;;;;;;;;;;x
k_illyria_adj;Illyrian;Illyrien;;;;;;;;;;x
k_cyrenaica;Cyrenaica;Cyrénaïque;;;;;;;;;;x
k_cyrenaica_adj;Cyrenaican;Cyrénien;;;;;;;;;;x
k_helling;The Helling;Le Helling;;;;;;;;;;x
k_helling_adj;Helling;;;;;;;;;;;x
e_helling;The Helling;Le Helling;;;;;;;;;;x
e_helling_adj;Helling;;;;;;;;;;;x
k_crete;Krete;Crète;;;;;;;;;;x
k_crete_adj;Krete;Crétois;;;;;;;;;;x
k_cyprus;Cyprus;Chypre;;;;;;;;;;x
k_cyprus_adj;Cypriot;Cypriote;;;;;;;;;;x
e_egypt;Egyptian Empire;Empire Égyptien ;;;;;;;;;;x
e_egypt_adj;Egyptian;Égyptien;;;;;;;;;;x
e_macedon;Macedonian Empire;Empire Macédonien;;;;;;;;;;x
e_macedon_adj;Macedonian;Macédonien;;;;;;;;;;x
