VIEThistorical.0.desc;This land we rule was once dominated by the Picts. However, the Picts are in decline. Their numbers are few, their culture is a remnant of its former glory - in due time, some say, the Pictish people will disappear off the face of the earth! Regardless of whether that will be true or not, it is undeniable that many people no longer call this land "Pictland." Instead, they have begun to call it "Scotland" after the Scottish Gaels who now rule over it.;Cette terre que nous gouvernons était autrefois dominée par les Pictes. Cependant, les Pictes sont en déclin. Leur nombre est faible, leur culture est un vestige de sa gloire d'antan - en temps voulu, certains disent que le peuple Pictes disparaîtra de la surface de la terre ! Peu importe que ce soit vrai ou non, il est indéniable que beaucoup de gens n'appellent plus cette terre "Pictes". Au lieu de cela, ils ont commencé à l'appeler "Écosse" d'après les Gaéliques écossais qui maintenant règnent en ces lieux.;;;;;;;;;;x
VIEThistorical.0.name;Scotland;Écosse;;;;;;;;;;x
VIEThistorical.0.a;Deep in my heart shall be my bonnie Scotland!;Au plus profond de mon cœur, ça sera toujours ma chère Écosse !;;;;;;;;;;x
VIEThistorical.0.b;No! "Scotland"? Bah! What an atrocious name!;Non ! "Écosse" ? Bah ! Quel nom atroce !;;;;;;;;;;x
VIEThistorical.1.desc;The former Frankish territories of Neustria are now ruled by the descendants of Norse raiders called the Normans. As such, it will no longer be known as Neustria, and henceforth will be called "Normandy" after these Normans. Many look warily upon these Normans, a force to be reckoned with, for they blend the sophisticated culture of Rome with the militant traditions of the Germanic peoples. Perhaps one day they will do great things, perhaps even control entire kingdoms. Only time will tell.;Les anciens territoires francs de Neustrie sont maintenant gouvernés par les descendants des raiders nordiques appelés les Normands. Ainsi, elle ne sera plus connue sous le nom de Neustrie, et sera désormais appelée "Normandie" d'après ces Normands. Beaucoup de gens regardent avec méfiance ces Normands, une force avec laquelle il faut compter, car ils mélangent la culture sophistiquée de Rome avec les traditions militaires des peuples germaniques. Peut-être qu'un jour ils feront de grandes choses, peut-être même contrôleront-ils des royaumes entiers. Seul l'avenir nous le dira.;;;;;;;;;;x
VIEThistorical.1.name;The Birth of Normandy;La naissance de la Normandie;;;;;;;;;;x
VIEThistorical.1.a;So it is!;Alors c'est vrai !;;;;;;;;;;x
VIEThistorical.2.desc;The holy lands around Antioch, once ruled by infidels, are now solidly controlled by good Christians. You have decided that this land, once known as Syria, shall become the Principality of Antioch, ruled by a Prince or Princess. Most nobles and Crusaders agree with your sentiment, for now...;Les terres saintes autour d'Antioche, autrefois dominées par des infidèles, sont maintenant solidement contrôlées par de bons chrétiens. Vous avez décidé que cette terre, autrefois connue sous le nom de Syrie, deviendra la Principauté d'Antioche, gouvernée par un Prince ou une Princesse. La plupart des nobles et des croisés sont d'accord avec vous, pour l'instant ...;;;;;;;;;;x
VIEThistorical.2.name;The Principality of Antioch;La Principauté d'Antioche;;;;;;;;;;x
VIEThistorical.2.a;Let's carry on, then.;Continuons, alors.;;;;;;;;;;x
