find_enarei;Search for an Enarei Diviner;Rechercher un divinateur enarée;;;;;;x
find_enarei_desc;Among the various Tabitian diviners, shamans and priests, a special hereditary caste of gifted diviners granted powers by the deity Argimpasa are said to be the highest class of diviners. Also of note, this male hereditary class of diviners dressed in the opposite gender's clothing and possibly represented some form of alternate gender identity.;Parmi les différents divinateurs scythes, les chamans et les prêtres, une caste héréditaire spéciale de divinateurs doués de pouvoirs accordés par la divinité Argimpasa est censée être la classe supérieure de divinateurs. De plus, cette classe de divinateurs masculins habillés dans les vêtements de genre opposés et représente, éventuellement, une forme d'identité de genre alternative.;;;;;x
seek_diviniation_from_enarei;Seek Diviniation From Court Enarei;Rechercher un divinateur enarée dans la Cour;;;;;;;;x
seek_diviniation_from_enarei_desc;We are blessed to employ a court Enarei, we should seek guidance from them on the future of the realm.;Nous sommes bénis d'employer un enarée, nous devrions lui demander des conseils sur l'avenir du royaume.;;;;;;x
enarei;Enarei Diviner;Divinateur enarée;;;;;;;x
enarei_desc;The Enarei are a special hereditary caste of diviners in the Tabitian religion whose powers are said to have originated with Argimpasa.;L'enarée est une caste héréditaire spéciale de divinateurs dans la religion scythe dont les pouvoirs seraient originaires d'Argimpasa.;;;;;;;;;x
#Searching For a Enarei
EVTDESC_ENA_3000;You have sent out word far and wide that you are in search of a Enarei. With luck a suitable candidate will present themselves soon.;Vous avez envoyé une lettre partout où vous pouvez pour rechercher un enarée. Avec de la chance, un candidat approprié se présentera bientôt.;;;;;x
EVTOPTA_ENA_3000;I hope I do not have to wait too long.;J'espère que je n'ai pas à attendre trop longtemps.;;;;;x
#Finding a Enarei
EVTDESC_ENA_3003;A strange man has come forward in the hopes of becoming your Enarei, he has a mystical air about him and seems to eminate wisdom.;Un homme étrange s'est présenté dans l'espoir de devenir votre enarée, il a un air mystique à son sujet et semble être assez sage.;;;;;x
EVTOPTA_ENA_3003;You will serve me well.;Vous allez bien me servir.;;;;;x
#Enarei ADVICE EVENTS
#Hedonist
EVTDESC_ENA_3101;Your Enarei has approached you and advised you that you should attempt to be less Hedonistic.;Votre enarée vous aborde et vous a conseillé de tenter d'être moins hédoniste.;;;;;x
EVTOPTA_ENA_3101;Anything for my faith.;Je ferai tout pour ma foi.;;;;;x
EVTOPTB_ENA_3101;He should mind his own business.;Ce n'est pas ses affaires.;;;;;x
#Impaler
EVTDESC_ENA_3102;Your Enarei has approached you about your... hobby... he believes you should reign yourself in somewhat.;Votre enarée vous aborde à propos de votre ... passe-temps ... il croit que vous devriez vous calmer peu.;;;;;x
EVTOPTA_ENA_3102;Anything for my faith.;Je ferai tout pour ma foi.;;;;;x
EVTOPTB_ENA_3102;He should mind his own business.;Ce n'est pas ses affaires.;;;;;x
EVTOPTC_ENA_3102;You seem to have a remarkable interest in my hobby...;Vous semblez avoir un intérêt remarquable pour mon passe-temps ...;;;;;x
#Lustful
EVTDESC_ENA_3103;Your Enarei has approached you about your... active lifestyle... he thinks you should try to be more chaste;Votre enarée vous aborde à propos de votre ... mode de vie actif ... il pense que vous devriez essayer d'être plus chastes.;;;;;x
EVTOPTA_ENA_3103;Anything for my faith.;Je ferai tout pour ma foi.;;;;;x
EVTOPTB_ENA_3103;He should mind his own business.;Ce n'est pas ses affaires.;;;;;x
#Gluttonous
EVTDESC_ENA_3104;Your Enarei does not believe that your Gluttonous nature is doing you any favors, be they physical or spiritual.;Votre enarée ne croit pas que votre nature gourmande soit en votre faveur, que se soit physique ou spirituelle.;;;;;x
EVTOPTA_ENA_3104;He has a point.;Il marque un point.;;;;;x
EVTOPTB_ENA_3104;Thanks for the advice, do you know when dinner is?;Merci pour le conseil, qu'est-ce qu'il y a pour le diner ?;;;;;x
#Greedy
EVTDESC_ENA_3105;Your Enarei Believes you are too Greedy, and has advised you to be more Charitable.;Votre enarée croit que vous êtes trop avide, et vous a conseillé d'être plus charitable.;;;;;x
EVTOPTA_ENA_3105;Well I suppose I had better try.;Bien, je vais faire de mon mieux.;;;;;x
EVTOPTB_ENA_3105;I could advise him on a thing or two...;Je pourrais le conseiller sur une chose ou deux ...;;;;;x
#Envious
EVTDESC_ENA_3106;Your Enarei has given you a long lecture on the evil of envy, it seems he did not take well to you stealing that noblewoman's necklace.;Votre enarée vous a fait un long discours sur le mal que représente l'envie et il semblerait qu'il ait mal pris que vous avez volé le collier de cette femme de la noblesse.;;;;;x
EVTOPTA_ENA_3106;I will try to be less Envious.;Je vais essayer d'être moins envieux.;;;;;x
EVTOPTB_ENA_3106;No! I never get what I want!;Non ! Je n'ai jamais ce que je veux !;;;;;x
#Wroth
EVTDESC_ENA_3107;Your Enarei thinks you are too Wroth and desires you put an effort into being more patient.;Votre enarée pense que vous êtes trop colérique et désire que vous mettiez un peu plus d'effort pour être plus patient.;;;;;x
EVTOPTA_ENA_3107;Alright, I suppose;Très bien, je suppose;;;;;x
EVTOPTB_ENA_3107;Well I think you should put an effort into being less nosy!;Eh bien, je pense que vous devriez faire un effort pour être moins curieux !;;;;;x
EVTOPTC_ENA_3107;HOW DARE YOU INSINUATE THAT I AM ANYTHING BUT PATIENT?!;COMMENT OSEZ-VOUS INSINUER QUE JE NE SUIS PAS PATIENT ?!;;;;;x
#Proud
EVTDESC_ENA_3108;Your Enarei has advised you to show more humility, believing you to be too proud;Votre enarée vous a conseillé de montrer plus d'humilité, vous croyant trop fier;;;;;x
EVTOPTA_ENA_3108;Okay, I suppose I don't know everything;D'accord, je suppose que je ne sais pas tout;;;;;x
EVTOPTB_ENA_3108;My Pride is perfectly justified!;Ma fierté est parfaitement justifiée !;;;;;x
EVTOPTC_ENA_3108;Are you saying I am not great?!;Vous dites que je ne suis pas grand ?!;;;;;x
#Arbitrary
EVTDESC_ENA_3109;Your Enarei thinks you are too Arbitrary, he desires you seek to become more just and consistent;Votre enarée pense que vous êtes trop arbitraire, il veut que vous cherchiez à devenir plus juste et cohérent;;;;;x
EVTOPTA_ENA_3109;Alright, I will try;Très bien, je vais essayer;;;;;x
EVTOPTB_ENA_3109;Hey! I'm in charge of my realm!;Hé ! Je dirige mon royaume !;;;;;x
#Cynical
EVTDESC_ENA_3110;Your Enarei believes you are too Cynical and has asked you to show more zeal;Votre enarée croit que vous êtes trop cynique et vous a demandé de montrer plus de zèle;;;;;x
EVTOPTA_ENA_3110;Alright, I will try;Très bien, je vais essayer;;;;;x
EVTOPTB_ENA_3110;Does he not even see the irony?;Connait-il le mot "ironie" ?;;;;;x
#Cruel
EVTDESC_ENA_3111;Your Enarei desires you to treat people more kindly.;Votre enarée souhaite que vous traitiez les gens de manière plus gentille.;;;;;x
EVTOPTA_ENA_3111;Okay.;D'accord.;;;;;x
