#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### Societies;;;;;;;;;;;;;;x
#### Monastic orders;;;;;;;;;;;;;;x
monastic_order_insular;The Culdees;Les Culdee;;;;;;;;;;;;x
monastic_order_insular_desc;The Culdees in Insular Christianity lead an ascetic life, finding purpose in prayer as well as work, often in the name of aiding their fellow men and women. A lay member of the Order is not required to take on the life of a hermit – instead focus should be placed on helping the members of your community.;Les Culdee de la Chétienté insulaire mènent une vie ascétique, trouvant un but dans la prière aussi bien que dans le travail, souvent pour aider leurs semblables. Un membre lai de l'Ordre n'est pas tenu de vivre en ermite, mais l'accent devrait alors être mis sur l'aide aux membres de la communauté.;Die Anhänger des Heiligen Basilius führen ein asketisches Leben und finden Erfüllung im Gebet und in der Arbeit, die oft dazu dient, ihren Mitmenschen zu helfen. Ein Laienmitglied des Ordens ist nicht dazu verpflichtet, ein Einsiedlerleben zu führen. Ihr solltet Euch stattdessen darauf konzentrieren, den Mitgliedern Eurer Gemeinde zu helfen.;;Los seguidores de san Basilio llevan vidas de ascetismo y se dedican a la oración y al trabajo, a menudo en nombre de la ayuda a sus semejantes. A los miembros novatos de la orden no se les exige que adopten la vida ermitaña, sino que se centren en ayudar a los miembros de su comunidad.;;;;;;;;;x
monastic_order_insular_rank_1_female;Donatus;Donatus;Donatus;;Donatus;;;;;;;;;x
monastic_order_insular_rank_2_female;Oblatus;Oblatus;Oblatus;;Oblatus;;;;;;;;;x
monastic_order_insular_rank_3_female;Commissus;Commissus;Commissus;;Commissus;;;;;;;;;x
monastic_order_insular_rank_4_female;Conversus;Conversus;Conversus;;Conversus;;;;;;;;;x
monastic_order_insular_rank_1_male;Donatus;Donatus;Donatus;;Donatus;;;;;;;;;x
monastic_order_insular_rank_2_male;Oblatus;Oblatus;Oblatus;;Oblatus;;;;;;;;;x
monastic_order_insular_rank_3_male;Commissus;Commissus;Commissus;;Commissus;;;;;;;;;x
monastic_order_insular_rank_4_male;Conversus;Conversus;Conversus;;Conversus;;;;;;;;;x
currency_name_monastic_order_insular;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
monastic_order_insular_leader_desc;The Conversus of the Culdees.;Le Conversus des Culdee.;;;;;;;;;;;;x
String_the_Culdees;The Culdees;Les Culdee;;;;;;;;;;;;x
String_Saint_Patrick;Saint Patrick;saint Patrice;;;;;;;;;;;;x
String_the_Rule_of_the_Culdees;The rule of the Culdees;La régle des Culdee;;;;;;;;;;;;x
#### Secret cults;;;;;;;;;;;;;;x
secret_religious_society_aquileian;the Hidden Aquileian;les aquiléens cachés;;;;;;;x
secret_religious_society_aquileian_desc;Placeholder;;;;;;;;x
secret_religious_society_nicene;the Hidden Nicene;les nicéens cachés;;;;;;;x
secret_religious_society_nicene_desc;Placeholder;;;;;;;;x
secret_religious_society_total_depravity;the Hidden Total Depravity;la corruption totale cachée;;;;;;;x
secret_religious_society_total_depravity_desc;Placeholder;;;;;;;;x
secret_religious_society_eutychian;the Hidden Eutychian;les eutychiens cachés;;;;;;;x
secret_religious_society_eutychian_desc;Placeholder;;;;;;;;x
secret_religious_society_binitarian;the Hidden Binitarian;les binitaires cachés;;;;;;;x
secret_religious_society_binitarian_desc;Placeholder;;;;;;;;x
secret_religious_society_georgian_orthodox;the Hidden Kartvelian;les kartvéliens cachés;;;;;;;x
secret_religious_society_georgian_orthodox_desc;Placeholder;;;;;;;;x
secret_religious_society_insular;the Hidden Insular;les insulaires cachés;;;;;;;x
secret_religious_society_insular_desc;Placeholder;;;;;;;;x
secret_religious_society_pelagianism;the Hidden Pelagianism;les pélagiens cachés;;;;;;;x
secret_religious_society_pelagianism_desc;Placeholder;;;;;;;;x
secret_religious_society_antinomianism;the Hidden Antinomianism;les antinomiens cachés;;;;;;;x
secret_religious_society_antinomianism_desc;Placeholder;;;;;;;;x
secret_religious_society_ebionites;the Remnant;le Reste;;;;;;;x
secret_religious_society_ebionites_desc;Hidden Jewish communities have organized under oppression ever since the Babylonian captivity. This is not the first time Jews have been forced underground, nor will it be the last. Hated by the orthodox Jewish community and mocked by the Christians, whom Ebionites view as tainted by Paul to reject the Law, the Ebionites claim to stand alone as the true Children of Israel. Yeshua promised a restored Israel, and while He laid the groundwork, the Ebionites claim they are the ones to enact His Will. For now, they do it in silence, spreading the message of the Lord to all who are willing to listen.;Les communautés juives cachées se sont organisées sous l'oppression depuis la captivité babylonienne. Ce n'est pas la première fois que les juifs ont été forcés à la clandestinité et ce ne sera pas la dernière. Détestés par la communauté juive orthodoxe et raillés par les chrétiens, que les ébionites considèrent comme souillés par Paul pour rejeter la Loi, les ébionites prétendent être les seuls véritables enfants d'Israël. Yeshoua a promis un Israël restauré, et tandis qu'il préparait le terrain, les ébionites prétendent qu'ils sont ceux qui vont promulguer Sa Volonté. Pour le moment, ils le font en silence, répandant le message du Seigneur à tous ceux qui sont prêts à écouter.;;;;;;;x
secret_religious_society_marcionism;the Hidden Marcionism;les marcionites cachés;;;;;;;x
secret_religious_society_marcionism_desc;Placeholder;;;;;;;;x
secret_religious_society_montanist;the Hidden Montanist;les montanistes cachés;;;;;;;x
secret_religious_society_montanist_desc;Placeholder;;;;;;;;x
secret_religious_society_sethian;the Hidden Sethian;les séthiens cachés;;;;;;;x
secret_religious_society_sethian_desc;Placeholder;;;;;;;;x
secret_religious_society_valentinianism;the Hidden Valentinianism;les valentiniens cachés;;;;;;;x
secret_religious_society_valentinianism_desc;Placeholder;;;;;;;;x
secret_religious_society_apollinarian;the Hidden Apollinarian;les apollinariens cachés;;;;;;;x
secret_religious_society_apollinarian_desc;Placeholder;;;;;;;;x
secret_religious_society_adoptionism;the Hidden Adoptionism;les adoptionistes cachés;;;;;;;x
secret_religious_society_adoptionism_desc;Placeholder;;;;;;;;x
secret_religious_society_docetic;the Hidden Docetic;les docétiques cachés;;;;;;;x
secret_religious_society_docetic_desc;Placeholder;;;;;;;;x
secret_religious_society_pneumatomachians;the Hidden Pneumatomachians;les pneumatomaques cachés;;;;;;;x
secret_religious_society_pneumatomachians_desc;Placeholder;;;;;;;;x
secret_religious_society_melchisedechianism;the Hidden Melchisedechianism;les melchisédechiens cachés;;;;;;;x
secret_religious_society_melchisedechianism_desc;Placeholder;;;;;;;;x
secret_religious_society_patripassianism;the Hidden Patripassianism;les patripassiens cachés;;;;;;;x
secret_religious_society_patripassianism_desc;Placeholder;;;;;;;;x
secret_religious_society_sabellianism;the Hidden Sabellians;les sabelliens cachés;;;;;;;x
secret_religious_society_psilanthropism;the Hidden Psilantrophism;les psilantrophistes cachés;;;;;;;x
secret_religious_society_psilanthropism_desc;Placeholder;;;;;;;;x
secret_religious_society_audianistic;the Hidden Audianistic;les audianistes cachés;;;;;;;x
secret_religious_society_audianistic_desc;Placeholder;;;;;;;;x
secret_religious_society_arian;the Hidden Arian;les ariens cachés;;;;;;;x
secret_religious_society_arian_desc;Placeholder;;;;;;;;x
secret_religious_society_monarchianism;the Hidden Monarchianism;les monarchiens cachés;;;;;;;x
secret_religious_society_monarchianism_desc;Placeholder;;;;;;;;x
secret_religious_society_donatism;the Hidden Donatism;les donatistes cachés;;;;;;;x
secret_religious_society_donatism_desc;Placeholder;;;;;;;;x
secret_religious_society_priscillianism;the Hidden Priscillianism;les priscillianistes cachés;;;;;;;x
secret_religious_society_priscillianism_desc;Placeholder;;;;;;;;x
secret_religious_society_islamic;the Hidden Islamic;les islamiques cachés;;;;;;;x
secret_religious_society_islamic_desc;Placeholder;;;;;;;;x
secret_religious_society_abadites;the Hidden Abadites;les abadites cachés;;;;;;;x
secret_religious_society_abadites_desc;Placeholder;;;;;;;;x
secret_religious_society_quranism;the Hidden Quranism;les coranistes cachés;;;;;;;x
secret_religious_society_quranism_desc;Placeholder;;;;;;;;x
