#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_nagadipa;Nagadipa;;;;;;;;;;;x
b_nagadipa2;Nagadipa;;;;;;;;;;;x
b_potapi2;Potapi;;;;;;;;;;;x
b_potapi3;Potapi;;;;;;;;;;;x
b_kanara;Kanara;;;;;;;;;;;x
b_venadu;Venadu;;;;;;;;;;;x
b_tirunelveli2;Tirunelveli;;;;;;;;;;;x
b_kollipake2;Kollipake;;;;;;;;;;;x
b_kollipake3;Kollipake;;;;;;;;;;;x
b_medak2;Medak;;;;;;;;;;;x
b_medak3;Medak;;;;;;;;;;;x
b_pannagallu2;Pannagallu;;;;;;;;;;;x
b_pannagallu3;Pannagallu;;;;;;;;;;;x
b_pannagallu4;Pannagallu;;;;;;;;;;;x
b_nilagiri2;Nilagiri;;;;;;;;;;;x
b_racakonda2;Racakonda;;;;;;;;;;;x
b_racakonda3;Racakonda;;;;;;;;;;;x
b_racakonda4;Racakonda;;;;;;;;;;;x
b_balkonda2;Balkonda;;;;;;;;;;;x
b_vemulavada2;Vemulavada;;;;;;;;;;x
b_vemulavada3;Vemulavada;;;;;;;;;;x
b_rajamahendravaram2;Rajamahendravaram;;;;;;;;;;;x
b_rajamahendravaram3;Rajamahendravaram;;;;;;;;;;;x
b_rajamahendravaram4;Rajamahendravaram;;;;;;;;;;;x
b_pithapuram2;Pithapuram;;;;;;;;;;;x
b_vijayawada2;Vijayawada;;;;;;;;;;;x
