#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###### Overridden vanilla keys need to be loaded last to be taken into account;;;;;;;;;;;;;x
###### Renamed vanilla provinces;;;;;;;;;;;;;x
PROV649;Sat-Sabuhr;Sat-Sabuhr;Sat-Sabuhr;;Sat-Sabuhr;;;;;;;;;x
PROV1029;Mare Tyrrhenum;Mer Tyrrhénienne;Tyrrhenisches Meer;;Mar Tirreno;;;;;;;x
PROV1037;Mare Ionium;Mer Ionienne;Ionisches Meer;;Mar Jónico;;;;;;;x
PROV1109;Mare Adriaticum;Mer Adriatique;Adria;;Mar Adriático;;;;;;;x
PROV1408;Hami;;;;;;;;;;;x
PROV1446;Jiaohe;;;;;;;;;;;x
PROV1450;Gaochang;;;;;;;;;;;x
# Temporary override of 2.8
PROV1581;Swarty;;;;;;;;;;;x
PROV1582;Murzuk;;;;;;;;;;;x
PROV1583;Sewwa;;;;;;;;;;;x
PROV1584;Taxseft;;;;;;;;;;;x
PROV1585;Azeggif;;;;;;;;;;;x
PROV1586;Mya;;;;;;;;;;;x
PROV1587;Garama;;;;;;;;;;;x
PROV1588;Labass;;;;;;;;;;;x
PROV1589;Aghrom;;;;;;;;;;;x
PROV1590;Nhasbisse;;;;;;;;;;;x
PROV1591;Talla;;;;;;;;;;;x
PROV1592;Rqa;;;;;;;;;;;x
PROV1593;Aggweh;;;;;;;;;;;x
PROV1594;Kkes;;;;;;;;;;;x
PROV1595;Ruh;;;;;;;;;;;x
PROV1596;Tizizwa;;;;;;;;;;;x
PROV1597;Makrane;;;;;;;;;;;x
PROV1598;Iyi;;;;;;;;;;;x
PROV1599;Rweqt;;;;;;;;;;;x
PROV1600;Iwdan;;;;;;;;;;;x
PROV1601;Amenyi;;;;;;;;;;;x
PROV1602;Afunas;;;;;;;;;;;x
PROV1603;Rass;;;;;;;;;;;x
PROV1604;Dousbihane;;;;;;;;;;;x
PROV1605;Pr'uba;;;;;;;;;;;x
PROV1606;Tafunast;;;;;;;;;;;x
PROV1607;Nafusa;;;;;;;;;;;x
PROV1608;Azegran;;;;;;;;;;;x
PROV1609;Sarbisa;;;;;;;;;;;x
PROV1610;Birra;;;;;;;;;;;x
PROV1611;Qseh;;;;;;;;;;;x
PROV1612;Nardalte;;;;;;;;;;;x
PROV1613;Idakattakhe;;;;;;;;;;;x
PROV1614;Ipitrul;;;;;;;;;;;x
PROV1615;Aflur;;;;;;;;;;;x
PROV1616;Iri;;;;;;;;;;;x
PROV1617;Marrya;;;;;;;;;;;x
PROV1618;Hada;;;;;;;;;;;x
PROV1619;Zznun;;;;;;;;;;;x
PROV1620;Rmehkama;;;;;;;;;;;x
PROV1621;Tivzenna;;;;;;;;;;;x
PROV1622;Igenigena;;;;;;;;;;;x
PROV1623;Aneb;;;;;;;;;;;x
PROV1624;Manzakine;;;;;;;;;;;x
PROV1625;Tighemi;;;;;;;;;;;x
PROV1626;Souk;;;;;;;;;;;x
PROV1627;Rmihe;;;;;;;;;;;x
PROV1628;Menshke;;;;;;;;;;;x
PROV1629;Arebi;;;;;;;;;;;x
PROV1630;Shuaybah;;;;;;;;;;;x
PROV1631;Wafrah;;;;;;;;;;;x
PROV1632;Khatt;;;;;;;;;;;x
PROV1633;Hofuf;;;;;;;;;;;x
PROV1634;Salwa;;;;;;;;;;;x
PROV1635;As Sila';;;;;;;;;;;x
PROV1636;Burayami;;;;;;;;;;;x
PROV1637;Ibri;;;;;;;;;;;x
PROV1638;Matrah;;;;;;;;;;;x
PROV1639;Nizwa;;;;;;;;;;;x
PROV1640;Khaluf;;;;;;;;;;;x #
PROV1641;Al Masira;;;;;;;;;;;x
PROV1642;Fararah;;;;;;;;;;;x
PROV1643;Hayama;;;;;;;;;;;x
PROV1644;Shishur;;;;;;;;;;;x
PROV1645;Hamidan;;;;;;;;;;;x
PROV1646;Qatar;;;;;;;;;;;x
PROV1647;Wabar;;;;;;;;;;;x
PROV1648;Shahan;;;;;;;;;;;x
PROV1649;Ubaylah;;;;;;;;;;;x
PROV1650;Mahrah;;;;;;;;;;;x
PROV1651;Ka'ab;;;;;;;;;;;x
PROV1652;Riyadh;;;;;;;;;;;x
PROV1653;Salemy;;;;;;;;;;;x
PROV1654;Abraq;;;;;;;;;;;x
PROV1655;Mushayt;;;;;;;;;;;x
PROV1656;Najran;;;;;;;;;;;x
